Player,Lvl,Frn,Pos,%,Age,Durability,Health,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,$,team,teamid,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
Christy Lewis,HiA,LAA,P,100,23,84,71,23,66,23,30,77,51,62,64,0,0,0,$27K  26250,Anaheim Dirty Halos,6878,84.47740269851678,0.39732442984881755,0.5599577307743144,1.8384095120756005,2.0260539010227894,5.831668550552402,-0.5962423923257578,-5.844843325658183,0.957282160623132
Coco Griffith,LoA,LAA,P,100,21,53,76,30,28,35,37,49,34,58,49,33,0,0,$27K  26250,Anaheim Dirty Halos,6878,54.04855553936357,0.41835987770530075,0.5691812230303834,1.972179151055386,0.6941145489935396,6.608299540684339,-2.2450483549289557,-4.545386363324478,0.9875411007356842
Daichi Martin,AA,LAA,P,100,23,32,82,55,64,41,55,84,77,92,77,59,31,0,$38K  37500,Anaheim Dirty Halos,6878,71.50051560639818,0.3528417565423684,0.4493065453726605,1.5414839940225273,2.107621926996303,4.7047104129262,0.22189903304138875,0.5551744001519936,0.8021483019150288
Damaso Javier,LoA,LAA,P,100,22,60,52,10,35,33,33,45,66,64,55,30,0,0,$27K  26250,Anaheim Dirty Halos,6878,11.706340505465182,0.4139931553563699,0.5546281149759261,1.9413763738064551,1.2116364843141338,6.344777319410662,-2.0139828904773442,-3.922074610196477,0.9686212703322961
Dane Manzanillo,LoA,LAA,P,100,20,63,68,17,40,30,23,24,66,65,57,36,0,0,$27K  26250,Anaheim Dirty Halos,6878,38.14730359875926,0.4197515620929479,0.5731207076585783,1.9767490574306028,1.0873480382603147,6.500520695562679,-1.3473491756812022,-3.869814494305491,0.9928722697515262
David Peterson,LoA,LAA,P,100,21,29,56,64,40,8,10,41,59,66,46,36,25,0,$27K  26250,Anaheim Dirty Halos,6878,70.42704644757562,0.44324994379060767,0.631005675294014,2.123290761057452,1.0403790368043644,6.972356314563928,-1.0674519703554135,-7.5026702044467175,1.0742556190846217
Denny Easterly,RL,LAA,P,100,19,32,62,67,44,45,58,27,36,71,69,37,0,0,$8K  7650,Anaheim Dirty Halos,6878,83.11193871034179,0.37512494165793936,0.49333787452838285,1.6943361689263132,1.175463290952319,5.743507693395674,-0.8834111424677482,-1.8053393521528762,0.8684628161863222
Derrek Peters,AA,LAA,P,100,22,24,93,82,33,58,51,89,75,75,68,65,56,43,$38K  37500,Anaheim Dirty Halos,6878,105.14825995280786,0.38167837760764733,0.4801371964943298,1.7188950551643982,1.1499875386240601,5.411497160642248,-0.7774849570667737,-2.0977620864015813,0.8618155741019771
Donn Lane,AAA,LAA,P,100,33,75,68,45,84,49,67,52,10,84,73,0,0,0,$73K  73000,Anaheim Dirty Halos,6878,73.59481902610584,0.3287442045500122,0.44553332326379247,1.4096834819871777,2.29955396441213,4.656249125178181,-0.07373285594553085,0.22888356291674947,0.7742775278138047
Earl Kline,RL,LAA,P,100,23,21,71,64,49,24,26,32,73,59,54,38,0,0,$8K  7650,Anaheim Dirty Halos,6878,82.16361275190565,0.41750651940039196,0.5808894994563689,1.9589482545033579,1.217613020347525,6.413382145497965,-0.452987181694852,-6.355346850801811,0.9983960188567609
Enrique Dali,AA,LAA,P,100,24,75,65,20,40,56,50,88,81,84,56,0,0,0,$38K  37500,Anaheim Dirty Halos,6878,38.58264473673711,0.3811383129144581,0.4778978665599977,1.7262643217018276,1.4031866476466301,5.3741825177905405,-0.826602941347334,-2.1708445748012317,0.8590361794744559
Evan Thomson,LoA,LAA,P,100,24,36,29,17,44,43,31,76,53,75,54,33,0,0,$27K  26250,Anaheim Dirty Halos,6878,44.70843848581866,0.40176020250656924,0.5398790852944357,1.8657552576131118,1.6570272526311365,5.959793088399245,-0.35631069585112574,-1.7612549827648003,0.9416392878010049
Felipe Mercado,AAA,LAA,P,98,23,25,99,68,85,70,67,17,84,79,68,57,43,0,$57K  57000,Anaheim Dirty Halos,6878,148.55143461108722,0.32154009332024547,0.41172554310905984,1.3450664300522797,2.1217949938272356,4.331438983468612,0.8329368551997568,1.702586389842281,0.7332656364293053
Francis Ogden,RL,LAA,P,100,23,35,55,24,23,10,15,39,11,50,41,23,0,0,$8K  7650,Anaheim Dirty Halos,6878,37.04369171689588,0.4559740249365782,0.6542493248591097,2.2192519589438104,0.7920658626502937,7.559678964345144,-2.150960192267371,-10.782782887184881,1.110223349795688
Fred Payton,ML,LAA,P,100,26,82,88,48,88,54,62,89,53,86,79,0,0,0,$343K  343000,Anaheim Dirty Halos,6878,83.60667602238209,0.32836009805321387,0.4313421133989285,1.3956106313530914,2.533755574931855,4.243087445635562,0.23694726916614617,0.7131682524561823,0.7597022114521423
Gene Simpson,ML,LAA,P,100,23,26,99,83,89,82,87,44,52,93,69,50,44,54,$343K  343000,Anaheim Dirty Halos,6878,211.46543033095614,0.2885019937881539,0.35354815075944784,1.139880013742541,2.5554487836453292,3.644601252705054,2.554110874793677,5.3251900142300315,0.6420501445476017
George Wall,AA,LAA,P,100,26,77,67,25,34,25,17,89,95,65,54,0,0,0,$38K  37500,Anaheim Dirty Halos,6878,30.408569101164478,0.43628428298634625,0.588722954999563,2.073613362742375,0.9733748524142914,6.459577562641972,-1.5013255143219832,-7.614845524577159,1.0250072379859092
Giancarlo Bocachica,HiA,LAA,P,100,21,25,45,61,75,69,51,81,81,80,67,54,37,31,$27K  26250,Anaheim Dirty Halos,6878,101.68874540822802,0.34464373330876436,0.4469855227600654,1.4922788128963582,2.239473247002943,4.537565815174923,0.4040125047899043,0.33310829659339575,0.7916292560688298
Heath Blackburn,HiA,LAA,P,100,23,75,97,36,69,27,33,85,29,65,58,0,0,0,$27K  26250,Anaheim Dirty Halos,6878,60.76393891228438,0.39087774520973806,0.5569789593465566,1.7998241862946753,2.009155556881668,5.751224129628312,-0.4602771924783833,-4.6199335836369935,0.9478567045562947
Hernan Benitez,LoA,LAA,P,100,20,40,88,29,37,13,13,27,0,48,48,22,0,0,$27K  26250,Anaheim Dirty Halos,6878,56.12556639907905,0.4449926011875728,0.6504763123419192,2.1507825368108895,0.795178679040792,7.364580069862702,-1.5267325424467082,-8.29982595473347,1.095468913529492
Hugh Slocumb,ML,LAA,P,100,22,21,62,74,73,74,77,87,87,96,72,63,61,0,$378K  378000,Anaheim Dirty Halos,6878,170.299845518498,0.3129799114658758,0.3736902297305126,1.2849187752751285,2.516036651762884,3.8571292138683653,1.4910513838049464,2.6171740123702345,0.6866701411963884
Jade Black,HiA,LAA,P,100,22,25,91,64,56,51,42,82,95,81,69,35,37,35,$27K  26250,Anaheim Dirty Halos,6878,95.86834285905506,0.37443467410259845,0.48095847140036885,1.6753778844516358,1.5978704021104897,5.110230368618693,-0.09233680662398744,-1.3165207553475369,0.8553931455029673
Jamey Skinner,AA,LAA,P,100,26,24,72,89,62,50,53,47,61,71,61,47,36,0,$38K  37500,Anaheim Dirty Halos,6878,111.57270818767024,0.36597438026593865,0.49021752184063744,1.6286659114462878,1.601349419380792,5.316639804976433,-0.25541916734672826,-1.4445068976250302,0.856191902106576
Jay Joyce,LoA,LAA,P,100,24,24,79,75,43,17,22,10,39,66,53,22,22,0,$27K  26250,Anaheim Dirty Halos,6878,69.41666846823402,0.4252335462230066,0.602260834140234,2.0123298813379265,0.9582198591812152,6.825155740236212,-1.1144502559952598,-7.806246450240724,1.0274943803632406
Jim Dunn,RL,LAA,P,100,21,47,49,29,33,19,19,28,18,49,34,22,0,0,$8K  7650,Anaheim Dirty Halos,6878,49.51204686758631,0.4437221499420687,0.6400034484283619,2.1414626682729008,0.8074997146978001,7.31876542448161,-2.3987193389292996,-11.173398967024387,1.0837255983704306
Joaquin Franco,AA,LAA,P,100,26,79,75,30,72,28,27,55,73,71,57,0,0,0,$38K  37500,Anaheim Dirty Halos,6878,57.90603448402018,0.3926972072298569,0.5492747523074505,1.805197543616315,1.932929597146498,5.6946845185701855,-0.2768146449321944,-4.008375249413462,0.9419719595373074
Joe Dale,AAA,LAA,P,100,26,30,86,67,43,64,68,84,79,85,58,58,34,0,$55K  54500,Anaheim Dirty Halos,6878,100.28605785132915,0.3559890362489698,0.43429253924835687,1.5591751968948013,1.401049313325969,4.898592391826807,-0.2551954238274699,-0.6370119808834691,0.7902815754973267
Joe Garcia,AA,LAA,P,100,23,35,75,72,50,33,37,44,40,66,65,26,25,19,$38K  37500,Anaheim Dirty Halos,6878,90.24127557626413,0.39674344329870626,0.5468437666214159,1.8299206513466868,1.24859184431151,6.059855883627011,-0.371503384848636,-2.6057345268163097,0.9435872099201221
Jordan Coles,RL,LAA,P,100,19,33,65,29,48,16,19,32,19,44,38,18,13,0,$8K  7650,Anaheim Dirty Halos,6878,55.064818077932834,0.4336452423047105,0.636578428512835,2.078569463076132,1.2809258232676641,7.058835682838499,-0.9005191764958205,-7.612407669404972,1.0702236708175454
Jordany Villarreal,HiA,LAA,P,100,23,93,56,24,34,24,28,86,50,59,61,38,0,0,$27K  26250,Anaheim Dirty Halos,6878,58.35726730823063,0.42388517984609975,0.5813124335739386,2.0020673006211895,1.1321350100574128,6.429375448357024,-1.7689990097844324,-8.341641981437057,1.0051976134200382
Jose Baez,ML,LAA,P,100,28,31,64,91,90,72,67,37,77,78,70,51,57,0,$6.5M  6500000,Anaheim Dirty Halos,6878,199.7626308375358,0.3182552312589321,0.41538150855678524,1.3233384658207932,2.366529406877508,4.218629815141594,1.6813996252164018,2.393804808339184,0.7336367398157173
Jose Lopez,LoA,LAA,P,100,22,33,82,86,70,27,27,10,38,65,55,42,30,0,$27K  26250,Anaheim Dirty Halos,6878,122.07941785521822,0.3954111923256483,0.5734794752285184,1.8229562341176275,1.6524958840195598,6.134842712427336,-0.27491401601996046,-5.60104575442207,0.9688906675541666
Jumbo Guapo,HiA,LAA,P,100,23,28,84,72,37,19,21,77,41,63,47,36,19,23,$27K  26250,Anaheim Dirty Halos,6878,80.79136627335136,0.431778308745864,0.6074326676904575,2.0511702378565158,1.0141602845324387,6.670561800581719,-0.8960584647726861,-7.252976463542766,1.0392109764363213
Kenley Harris,RL,LAA,P,100,19,22,80,68,34,28,28,29,47,81,54,43,30,0,$8K  7650,Anaheim Dirty Halos,6878,52.981748749566655,0.4154644829091735,0.5638236137110952,1.945312924498884,0.833421246509721,6.482670045031443,-1.7645961265248205,-7.248574967758667,0.9792880966202687
Kip Branson,AA,LAA,P,100,23,26,52,97,41,40,40,85,69,66,56,39,33,0,$38K  37500,Anaheim Dirty Halos,6878,89.4102278411457,0.4027901732210926,0.541676357572989,1.8580697650668354,1.2335531280895637,5.945586753944493,-0.6665121022932076,-4.189724965724542,0.9444665307940816
Lew Marshall,AA,LAA,P,100,21,59,73,32,65,51,54,38,38,64,49,30,0,0,$38K  37500,Anaheim Dirty Halos,6878,55.921225441860685,0.3660317235243208,0.5002485499096044,1.6432728264702972,1.6259919458660506,5.472011621702597,-0.6062657488767541,-1.3127223042954925,0.8662802734339252
Liam Walters,HiA,LAA,P,100,25,24,64,77,45,36,25,35,70,63,56,36,0,0,$27K  26250,Anaheim Dirty Halos,6878,74.5258474820586,0.41636151623767537,0.573318486476339,1.9493107437194281,1.0874809817289868,6.380260369790969,-0.7200281715615021,-3.2398854036263285,0.9896800027140144
Mac Sutton,RL,LAA,P,100,20,42,95,35,36,22,26,34,37,64,60,31,0,0,$8K  7650,Anaheim Dirty Halos,6878,45.315108886520036,0.42272183032227817,0.5842019774288955,1.9983933947185524,0.8317660447764211,6.664399733069121,-1.9124917497667866,-7.765904583331794,1.0069238077511735
Marvin Casey,HiA,LAA,P,100,23,26,85,41,50,32,25,47,45,65,48,42,30,0,$27K  26250,Anaheim Dirty Halos,6878,37.07850386756177,0.410373679135148,0.5746840801585335,1.918943159455488,1.2937128863405853,6.30427188195995,-0.7452171951607,-2.511375134729552,0.9850577592936814
Melky Pineda,RL,LAA,P,100,21,43,57,31,35,19,19,67,42,51,40,24,0,0,$8K  7650,Anaheim Dirty Halos,6878,56.40527028509098,0.4411634552896232,0.6258725061909893,2.1182921990821724,0.8746514116180423,6.963661870828158,-1.7418408896289068,-9.170627161520853,1.0670359614806126
Michael Smith,AAA,LAA,P,100,26,36,81,26,53,68,65,47,88,76,59,41,38,0,$55K  54500,Anaheim Dirty Halos,6878,52.60079994018038,0.351051894582465,0.43263709423510716,1.534272380741789,1.53748056434301,4.909616608327233,-0.34989561898455107,-0.3845097752100808,0.7836889888175722
Miguel Chavez,LoA,LAA,P,100,21,31,94,60,32,22,30,37,61,59,54,25,39,32,$27K  26250,Anaheim Dirty Halos,6878,77.48893977941027,0.4247866494420464,0.5808702962022931,2.0045832340747953,0.6630474249974585,6.650636779197079,-2.3071335087113165,-7.899397829634676,1.0056569456443396
Milt Sherrill,ML,LAA,P,90,27,71,64,47,86,56,77,76,76,82,75,0,0,0,$1.6M  1600000,Anaheim Dirty Halos,6878,98.38292109242325,0.31777511425314753,0.40169445515285096,1.3271560467753536,2.5333582992266557,4.057097393751164,0.38677761098911956,0.8916519978796185,0.7194695694059985
Mo Glass,AAA,LAA,P,100,28,49,90,49,52,73,66,83,30,83,75,52,0,0,$64K  64000,Anaheim Dirty Halos,6878,90.96342549874939,0.34436590777161163,0.4312870239338399,1.4964691321874912,1.7926566625022922,4.793986068249448,-0.04074063879697397,0.14271309689255496,0.7756529317054515
Moises Almanzar,AAA,LAA,P,100,27,31,98,79,40,72,59,85,81,84,65,45,42,0,$67K  67000,Anaheim Dirty Halos,6878,121.01518655364563,0.3639986684935242,0.44523069543993093,1.6061746730996742,1.3051949456174303,5.026260837642776,-0.22802729964381319,-0.8534447076386683,0.8092293639334551
Oscar Politte,RL,LAA,P,100,20,45,88,23,25,26,29,70,47,57,53,28,0,0,$8K  7650,Anaheim Dirty Halos,6878,52.717612724466456,0.4312278101217892,0.5862873784826799,2.050904186264485,0.943458743190061,6.711652347553361,-1.7872370998564855,-7.2155813662701265,1.017515188604469
Ozzie Dong,RL,LAA,P,100,20,29,9,74,23,16,13,37,45,42,42,15,13,9,$8K  7650,Anaheim Dirty Halos,6878,125.90770103728946,0.46228760547205633,0.6620754811317459,2.2493036127529398,1.0534495721572068,7.600179296414795,-1.2220106375987638,-7.459589938720703,1.1243630866038021
Piper Oeltjen,AAA,LAA,P,47,24,27,87,62,83,55,65,38,81,79,72,47,40,33,$59K  59000,Anaheim Dirty Halos,6878,121.54166779274424,0.3287377814350857,0.4245945259310234,1.3929611989949402,2.0864783290243585,4.3989156963122715,0.5164797381486005,0.7551066260780857,0.7533323073661091
Richie Thomson,HiA,LAA,P,100,21,28,90,90,66,23,15,71,72,61,51,37,34,0,$27K  26250,Anaheim Dirty Halos,6878,131.38434247453125,0.4154861401060128,0.5986017341858233,1.9411306208252561,1.8479479201972184,6.138638044663326,0.01813993245891,-5.093949796382975,1.0140878742918362
Rip Diaz,HiA,LAA,P,100,25,44,66,29,79,30,37,29,73,74,52,40,31,0,$27K  26250,Anaheim Dirty Halos,6878,47.619310488411045,0.37318106878873464,0.5202078550264617,1.6825829987576166,1.9061214839003666,5.413541817278244,-0.49959252937440846,-1.40559222038971,0.8933889238151964
Robinson Yearwood,AAA,LAA,P,100,23,22,77,80,75,70,56,40,48,83,52,48,36,27,$55K  54500,Anaheim Dirty Halos,6878,138.9013136918685,0.34158089753654086,0.4549870092971544,1.4787944300714961,1.9618595472069968,4.824006371495066,0.5650762208207746,1.034341530827623,0.7965679068336953
Roland Sheridan,AAA,LAA,P,100,22,35,100,28,53,58,49,80,62,74,70,52,44,0,$55K  54500,Anaheim Dirty Halos,6878,43.770750871257526,0.3669944992065273,0.47308891464189795,1.6362616968389827,1.712767024110476,5.146457984470379,-0.31933313221673304,-0.90112205482833,0.8400834138484252
Ron Sterns,LoA,LAA,P,100,22,98,70,38,37,17,20,17,26,68,53,34,0,0,$27K  26250,Anaheim Dirty Halos,6878,54.91876188650295,0.42956424738367355,0.607373890155904,2.0432291642017257,0.9216400809367222,6.914224010622664,-1.697283039816993,-9.318607643567711,1.0369381375395776
Ronnier Nicholson,HiA,LAA,P,100,23,30,74,65,74,29,29,70,39,60,43,32,36,15,$27K  26250,Anaheim Dirty Halos,6878,102.361645179269,0.39325995313701023,0.5727784900081874,1.8125460024701372,2.0226351992722282,5.85670144736384,-0.013272494028741736,-4.192588905852875,0.9660384431451976
Socks Stubblefield,AA,LAA,P,100,25,66,79,39,70,43,36,81,79,67,52,0,0,0,$38K  37500,Anaheim Dirty Halos,6878,58.964609365006055,0.3838367985406544,0.5261831538555014,1.7465403118988967,2.015597170149981,5.414764858883842,-0.3120188102572485,-1.6344596305503891,0.9100199523961559
Sun-Woo Lin,ML,LAA,P,98,31,26,99,74,79,53,76,28,65,98,70,43,34,0,$5.2M  5200000,Anaheim Dirty Halos,6878,167.97113826114034,0.3169545030902185,0.3972456388051453,1.318252792412965,2.0547141065987446,4.267543694021202,0.8198467179715518,1.767285660199523,0.7142001418953638
Teddy Patrick,LoA,LAA,P,100,21,72,91,30,34,24,22,70,51,61,52,0,0,0,$27K  26250,Anaheim Dirty Halos,6878,78.82059363611344,0.4324199729375324,0.5972569262371665,2.0575071323547407,1.0178947172498292,6.675846235034571,-1.8759893309084321,-8.612526660983931,1.029676899174699
Tim Ruf,RL,LAA,P,100,19,55,72,22,53,12,17,76,38,50,44,21,0,0,$8K  7650,Anaheim Dirty Halos,6878,53.373447979608635,0.43066975172686583,0.6255925179894153,2.054172230636559,1.9328552997799153,6.660111393452198,-0.5127515559248893,-6.6958363007222585,1.0562622697162811
Tomas Abad,RL,LAA,P,100,20,37,61,34,24,18,22,22,42,43,42,17,0,0,$8K  7650,Anaheim Dirty Halos,6878,63.30483937824308,0.44970974889363835,0.6338053046492266,2.173506142375918,0.6187597449559856,7.400061662844448,-2.23019950991253,-8.071714983583663,1.083515053542865
Toru Bong,AA,LAA,P,100,23,21,75,51,68,27,28,56,66,58,43,41,0,0,$38K  37500,Anaheim Dirty Halos,6878,70.41447177806351,0.40165765607330395,0.572635593365322,1.8633743854385019,1.6028792432404064,5.9800794434850095,-0.418518719230467,-5.417783392525051,0.9742932494386259
Victor Valentin,AAA,LAA,P,100,23,58,63,48,81,64,62,40,60,82,78,0,0,0,$57K  57000,Anaheim Dirty Halos,6878,84.77418342982413,0.33171478948145716,0.4296470081671289,1.4184321637105555,2.0531202241449447,4.538730005150933,-0.03695824967299348,0.3743082481783261,0.761361797648586
Vin Duran,AAA,LAA,P,100,24,86,63,22,44,52,59,92,78,81,62,0,0,0,$55K  54500,Anaheim Dirty Halos,6878,36.872221036726735,0.3708496395221473,0.4629187721932825,1.6614695003899262,1.281008061860515,5.169125507862306,-0.6942292506202663,-1.3391593836919526,0.8337684117154298
Walter Rosin,LoA,LAA,P,100,22,31,80,74,54,24,22,72,18,63,49,26,18,0,$27K  26250,Anaheim Dirty Halos,6878,94.22797873280906,0.4162528035526253,0.6021995062299538,1.9584525406529565,1.601716043723042,6.435862846218878,-0.39465724095811466,-5.895147388207373,1.018452309782579
Wil Whiten,RL,LAA,P,100,21,63,89,14,19,38,46,79,53,71,53,30,0,0,$8K  7650,Anaheim Dirty Halos,6878,23.4633702893978,0.4100046005484771,0.5283867185871967,1.913509128353142,1.574023342504735,6.212316284154006,-1.6968330702807979,-3.1964933965431483,0.9383913191356738
Wilin Sierra,ML,LAA,P,100,39,78,87,37,82,55,76,37,75,78,75,0,0,0,$5.8M  5800000,Anaheim Dirty Halos,6878,84.16277611272675,0.3225506876009821,0.40863470308917454,1.358868151210494,2.1726144853481895,4.338127697038602,-0.12047987052411255,0.39002954904236287,0.7311853906901566
Wilton Joseph,LoA,LAA,P,100,24,76,53,37,70,28,20,79,68,63,48,0,0,0,$27K  26250,Anaheim Dirty Halos,6878,57.125219455149086,0.4064714587107078,0.580844227262033,1.8938454913067506,2.2056364998015314,5.9367954125328914,-0.4769507151128377,-4.43652788271228,0.9873156859727408
Woodie Magee,RL,LAA,P,100,19,61,68,25,56,17,17,72,17,57,52,0,0,0,$8K  7650,Anaheim Dirty Halos,6878,54.829066352130596,0.422919908386123,0.6162415730975972,2.008380045582481,1.7209162712876265,6.573296938597437,-0.8358304309868876,-7.1518360940512595,1.0391614814837202
Yuu Chen,AAA,LAA,P,100,24,77,99,30,45,65,64,94,7,86,55,0,0,0,$59K  59000,Anaheim Dirty Halos,6878,54.15467816477214,0.35856116353814316,0.4604048904605787,1.594898544043774,1.490292089515302,5.203666385676589,-0.493200684776611,-0.6019621615675332,0.8189660539987218
Al Armas,LoA,ATL,P,100,21,27,94,87,72,33,32,36,76,74,48,39,46,23,$27K  26250,Atlanta Gold Club,6854,120.53108307779493,0.3850917140945555,0.5390613980255624,1.749265485619194,1.720785183577566,5.626283540659381,0.23861065422807487,-1.7726693445848658,0.9241531121201179
Albie Montanez,RL,ATL,P,100,22,32,46,61,24,15,20,34,4,52,42,18,0,0,$8K  7650,Atlanta Gold Club,6854,56.907090383404615,0.449955644332551,0.6468992752822847,2.1787305736905456,1.034025729357439,7.500918935804352,-2.048713281377394,-9.519349627104022,1.0968549196148358
Alex Caballero,AAA,ATL,P,100,21,73,99,45,81,62,69,13,37,90,77,45,0,0,$55K  54500,Atlanta Gold Club,6854,94.64362647999027,0.31955711885543925,0.41275528198769623,1.3427885281857976,2.1075160296387616,4.460214921660704,0.03932989946317919,0.44577300031213735,0.7323124008431354
Arlie Rodney,ML,ATL,P,100,34,30,82,56,92,59,81,75,19,78,69,49,53,0,$5.4M  5400000,Atlanta Gold Club,6854,99.06580694351891,0.3048364427079221,0.40645662029774854,1.2530947504990924,3.140688130684959,4.05612037135513,0.8361879255850092,1.2074500627951668,0.7112930630056706
Asdrubal Mendoza,LoA,ATL,P,100,19,64,66,31,30,45,32,83,74,75,66,0,0,0,$27K  26250,Atlanta Gold Club,6854,34.689829277911755,0.4114363065645399,0.5334714094254169,1.9173369968146454,0.9446742643678745,6.052137406400442,-1.5125708215390175,-2.928703617280807,0.9449077159899568
Bailey LeCure,AA,ATL,P,100,31,20,36,69,61,51,55,38,38,59,52,40,25,0,$55K  54500,Atlanta Gold Club,6854,71.32570066112949,0.3699827216123054,0.5086179953393692,1.6652433848301371,1.4430844396225542,5.613042096083648,-0.4005318739518649,-0.9470761324572642,0.8786007169516746
Bernard O'Flaherty,LoA,ATL,P,100,28,25,38,62,64,23,19,82,21,52,49,26,22,0,$54K  53750,Atlanta Gold Club,6854,68.08667967551428,0.4153768257235844,0.6139296715537466,1.9570279086849367,1.6837684071404033,6.378662592296106,-0.4054581455669604,-5.238359780951827,1.029306497277331
Bing Below,LoA,ATL,P,100,32,66,45,21,68,60,67,88,84,89,69,0,0,0,$55K  54500,Atlanta Gold Club,6854,60.2790873868793,0.33742868063285436,0.41559429580902335,1.4514082543746645,2.1900984768383918,4.392546970395287,0.0885106628803588,0.3250865712456021,0.7530229764418777
Bonk Tresh,AAA,ATL,P,100,33,25,56,78,50,54,48,74,21,59,54,38,38,40,$55K  54500,Atlanta Gold Club,6854,99.25144930824703,0.38223541310508885,0.5254834041415386,1.7414948294932686,1.495948300888981,5.7711811121666905,-0.5379126459303111,-1.9166615389220072,0.9077188172466275
Brandon Cosby,RL,ATL,P,100,21,40,87,12,37,21,19,72,66,58,49,27,0,0,$8K  7650,Atlanta Gold Club,6854,42.19083770815653,0.43362986758696687,0.5986247260285033,2.0655072103403183,1.785085453359928,6.6175035143239835,-1.112952897193845,-7.306295116809829,1.0322545936154701
Carter Fullmer,ML,ATL,P,100,35,62,92,32,82,81,76,85,51,82,78,65,0,0,$1.9M  1920000,Atlanta Gold Club,6854,90.41364279464631,0.3076337360130117,0.3817620310366165,1.2634046397325043,2.652671772890994,3.8551059877938707,0.4206950254251799,1.2288259694420718,0.6893957670496282
Claude Peterman,HiA,ATL,P,100,26,32,58,89,82,34,49,27,67,61,49,39,0,0,$54K  53750,Atlanta Gold Club,6854,153.9919842460926,0.36823353265388037,0.5215601013734927,1.6493048194677882,1.8449974215729177,5.41630876740069,0.18817654274843384,-0.967465270249302,0.8897936340273731
David Garces,ML,ATL,P,100,29,16,100,79,91,84,74,89,56,95,81,47,65,0,$6.2M  6155000,Atlanta Gold Club,6854,129.51878099503702,0.29663296109252857,0.3674919050145041,1.1862150416113115,3.1391892753999593,3.561121028948831,1.8446006776049597,4.328542338648085,0.6641248661070327
