Player,Lvl,Frn,Pos,%,Age,Durability,Health,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,$,team,teamid,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
Bradley Williams,LoA,ALB,P,100,23,81.0,73.0,23.0,54.0,20.0,23.0,33.0,32.0,65.0,39.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,75.2435,0.38531000000000004,0.6045200000000003,1.90687,1.958359999999999,5.918567550348314,-0.9867907961123342,-1.343122564325198,0.9898300000000003
Chief Riggs,RL,ALB,P,100,23,5.0,89.0,49.0,64.0,39.0,38.0,37.0,35.0,62.0,53.0,39.0,0.0,0.0,$8K  7650,Albuquerque Gladiators,2815,87.78300000000002,0.3869110000000002,0.48878833333333316,1.832448333333333,1.7684833333333336,5.214600774306404,-0.5845126508707352,-0.9868978286194239,0.8756993333333334
Chris Paige,ML,ALB,P,100,29,86.0,90.0,17.0,82.0,74.0,80.0,76.0,65.0,80.0,55.0,0.0,0.0,0.0,$343K  343000,Albuquerque Gladiators,2815,62.12150000000001,0.312423380952381,0.40044142857142845,1.296783333333333,2.825173333333333,4.187032404639299,0.22003818629193486,0.7428889583920127,0.7128648095238095
Daryle Burns,LoA,ALB,P,100,23,23.0,50.0,67.0,54.0,39.0,31.0,32.0,65.0,55.0,44.0,27.0,33.0,17.0,$27K  26250,Albuquerque Gladiators,2815,110.0226666666668,0.3963266666666666,0.529755,1.8583549999999993,1.7820083333333332,5.847179265211358,-0.27111291492849693,-1.2404498631064578,0.9260816666666666
Dean Hundley,RL,ALB,P,100,20,55.0,74.0,18.0,52.0,30.0,30.0,75.0,41.0,53.0,54.0,31.0,0.0,0.0,$8K  7650,Albuquerque Gladiators,2815,61.33166666666666,0.3845166666666666,0.541625,1.8767666666666671,2.0702999999999983,5.4179552301030265,0.06899142005985277,-1.060800167217062,0.9261416666666666
Dick Morandini,AA,ALB,P,100,25,64.0,48.0,17.0,37.0,65.0,56.0,71.0,81.0,69.0,56.0,0.0,0.0,0.0,$38K  37500,Albuquerque Gladiators,2815,65.35766666666669,0.3783265,0.422645,1.8201666666666663,1.4175199999999992,5.37353147595204,-0.23459209279196463,-0.0655593974164363,0.8009715
Don Stripling,AAA,ALB,P,100,24,44.0,80.0,27.0,77.0,61.0,61.0,93.0,49.0,83.0,72.0,57.0,0.0,0.0,$55K  54500,Albuquerque Gladiators,2815,61.264049999999976,0.3357026666666666,0.4283557142857143,1.4322666666666664,2.2938166666666673,4.443282706376155,0.05506826367896809,0.25125951256270673,0.7640583809523809
Einar Gonzalez,ML,ALB,P,100,32,26.0,90.0,79.0,82.0,77.0,73.0,28.0,80.0,76.0,77.0,57.0,63.0,66.0,$6.5M  6500000,Albuquerque Gladiators,2815,198.4760833333334,0.3160441666666666,0.39586333333333334,1.3295433333333337,2.1641166666666662,4.246391962294473,1.4251014165784632,3.4359507867221213,0.7119074999999999
Elian Estrada,AA,ALB,P,100,25,33.0,76.0,83.0,68.0,60.0,42.0,36.0,73.0,73.0,52.0,33.0,0.0,0.0,$38K  37500,Albuquerque Gladiators,2815,122.48733333333342,0.34851785714285716,0.4616583333333332,1.5185000000000002,1.8785416666666674,4.834052361969249,0.5538121787382884,0.29139380692610656,0.8101761904761904
Ellie Martin,RL,ALB,P,100,21,44.0,64.0,33.0,49.0,15.0,17.0,81.0,36.0,57.0,51.0,34.0,0.0,0.0,$8K  7650,Albuquerque Gladiators,2815,104.68200000000007,0.38397000000000014,0.5756400000000002,1.8594266666666668,1.7506666666666668,5.894945748193923,-0.5005176693751611,-0.9951429875629724,0.9596100000000003
Eugenio Bazardo,HiA,ALB,P,100,23,48.0,81.0,18.0,40.0,42.0,53.0,29.0,65.0,80.0,63.0,41.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,53.69699999999998,0.38145571428571423,0.45420000000000016,1.7423200000000005,1.2529400000000004,5.806592424139001,-0.3561933452726677,-0.7854114375729253,0.8356557142857144
Fernando Gabriel,AA,ALB,P,100,22,33.0,100.0,75.0,37.0,45.0,61.0,83.0,86.0,78.0,64.0,64.0,54.0,0.0,$38K  37500,Albuquerque Gladiators,2815,124.57183333333346,0.378305,0.4444933333333335,1.7893499999999996,1.3196000000000003,5.078300464750349,-0.5374266535794427,-0.6524690250545386,0.8227983333333335
Gaby Little,AA,ALB,P,100,26,64.0,93.0,49.0,74.0,55.0,56.0,34.0,44.0,72.0,62.0,46.0,0.0,0.0,$38K  37500,Albuquerque Gladiators,2815,69.6146666666667,0.3587750000000001,0.4848365000000001,1.6039599999999994,1.917250000000001,5.116342669958759,-0.24310835351739982,-0.24582189337021515,0.8436115000000002
Gary Huff,LoA,ALB,P,100,24,72.0,79.0,22.0,57.0,28.0,30.0,82.0,65.0,63.0,67.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,62.304999999999964,0.383088,0.5457599999999999,1.8958799999999991,1.8955833333333336,5.765979575657212,-0.46701417346980273,-1.1437674234095558,0.9288479999999999
Gavin Hayes,HiA,ALB,P,100,22,30.0,78.0,63.0,27.0,43.0,51.0,75.0,34.0,73.0,51.0,42.0,30.0,27.0,$27K  26250,Albuquerque Gladiators,2815,100.84766666666674,0.42341866666666694,0.4959440000000002,2.015758333333334,0.8054999999999997,6.393690834799806,-1.0201721265776122,-1.411687111692962,0.9193626666666672
Gene Farmer,ML,ALB,P,100,27,33.0,36.0,67.0,68.0,75.0,74.0,39.0,78.0,75.0,59.0,49.0,0.0,0.0,$3.5M  3520000,Albuquerque Gladiators,2815,153.6869047619049,0.32650366666666664,0.4017383333333335,1.3724899999999989,2.0195166666666666,4.346840366128088,0.861530941257078,1.8611189488799524,0.7282420000000001
Gerry Putz,HiA,ALB,P,100,24,47.0,82.0,42.0,60.0,16.0,21.0,40.0,31.0,65.0,48.0,30.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,79.52930000000003,0.3920216666666668,0.6047600000000007,1.8396750000000006,1.571733333333334,6.012592958293939,-0.8330379907540785,-1.4441410534196044,0.9967816666666676
Hector Alou,HiA,ALB,P,100,24,70.0,96.0,20.0,42.0,47.0,33.0,89.0,82.0,86.0,94.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,56.93699999999997,0.37587933333333345,0.4647175000000001,1.6890416666666672,1.4045,5.132769594936641,-0.12291707808345372,-0.46186315816218965,0.8405968333333336
Hector Surhoff,RL,ALB,P,100,23,22.0,65.0,66.0,36.0,31.0,35.0,64.0,19.0,72.0,54.0,32.0,32.0,26.0,$8K  7650,Albuquerque Gladiators,2815,96.4753333333334,0.40314866666666704,0.4829,2.010198333333333,1.2069499999999997,5.871806093545374,-0.9530512670279121,-1.1377223328443058,0.886048666666667
Howie Donatello,LoA,ALB,P,100,23,32.0,36.0,62.0,58.0,26.0,32.0,29.0,32.0,63.0,44.0,29.0,25.0,0.0,$27K  26250,Albuquerque Gladiators,2815,110.09303571428583,0.39347066666666664,0.5642700000000002,1.920151666666666,1.6686564285714283,5.719323723891257,-0.28380647224453026,-1.7828201645022248,0.9577406666666668
Hughie Neill,RL,ALB,P,100,20,32.0,85.0,55.0,50.0,24.0,24.0,45.0,45.0,56.0,48.0,25.0,18.0,21.0,$8K  7650,Albuquerque Gladiators,2815,115.78600000000013,0.3874683333333336,0.6058700000000001,1.8896904761904747,1.8044821428571434,5.8845867317283,-0.023046090844520556,-1.322293733643747,0.9933383333333337
Humberto Nuno,AAA,ALB,P,100,25,79.0,89.0,49.0,81.0,57.0,58.0,25.0,46.0,79.0,54.0,0.0,0.0,0.0,$61K  61000,Albuquerque Gladiators,2815,88.8323166666667,0.342945,0.44691999999999976,1.5635833333333327,1.9417999999999997,4.698288390021648,-0.23503145108511453,-0.012974799997770504,0.7898649999999998
Ildemaro Feliz,LoA,ALB,P,100,24,31.0,81.0,46.0,71.0,31.0,31.0,83.0,58.0,71.0,56.0,36.0,29.0,0.0,$27K  26250,Albuquerque Gladiators,2815,73.36399999999999,0.3766316666666669,0.5111000000000002,1.7969799999999996,2.217386666666667,5.30762994003025,-0.2899203872784179,-0.6807001874778977,0.8877316666666671
Jarred Fontanez,ML,ALB,P,100,27,11.0,88.0,81.0,89.0,92.0,67.0,93.0,77.0,76.0,72.0,42.0,80.0,0.0,$1.0M  1000000,Albuquerque Gladiators,2815,96.7679666666667,0.3155243333333333,0.4045133333333333,1.304737857142857,2.6513799999999996,4.391761186112533,1.4879738697463436,1.6113606326651637,0.7200376666666666
Jeremie Grace,HiA,ALB,P,100,24,62.0,68.0,24.0,27.0,41.0,31.0,82.0,76.0,78.0,53.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,63.779333333333305,0.4150000000000001,0.5186945833333332,1.9186500000000004,0.9517999999999998,6.194762230350644,-0.38666350981554226,-1.080920325839938,0.9336945833333332
Jeremy Belnome,LoA,ALB,P,100,22,72.0,93.0,29.0,48.0,36.0,44.0,35.0,46.0,71.0,57.0,54.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,72.25899999999997,0.3768125,0.5110800000000001,1.795866666666667,1.8524666666666658,5.329544423942906,-0.3424003947768562,-0.7461179012320155,0.8878925000000001
Joey Epstein,LoA,ALB,P,100,25,85.0,91.0,20.0,30.0,31.0,27.0,72.0,69.0,65.0,35.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,62.024699999999974,0.42225000000000007,0.5729149999999996,2.0532000000000004,0.8217999999999998,6.8048590303169805,-0.4695967837591475,-1.1955448576217733,0.9951649999999996
John O'Shea,AA,ALB,P,100,26,29.0,58.0,72.0,72.0,31.0,26.0,80.0,61.0,62.0,47.0,30.0,0.0,0.0,$38K  37500,Albuquerque Gladiators,2815,112.69600000000015,0.37425100000000006,0.5943100000000002,1.8634999999999997,1.85353,5.84280522044377,-0.12424986642237172,-1.4845567047311585,0.9685610000000002
Jose Macias,LoA,ALB,P,100,24,69.0,88.0,25.0,51.0,23.0,23.0,69.0,45.0,59.0,47.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,72.50709999999998,0.39094333333333336,0.6115400000000005,1.8584783333333328,1.859499999999999,5.868000078036179,-0.4861225067399578,-0.9577176341973935,1.0024833333333338
Jose Ordonez,AA,ALB,P,100,25,31.0,69.0,92.0,59.0,30.0,43.0,59.0,68.0,68.0,53.0,35.0,0.0,0.0,$38K  37500,Albuquerque Gladiators,2815,121.03666666666673,0.3772262500000001,0.49049850000000006,1.8452300000000001,1.8555999999999995,5.056945628488815,0.3635324572407707,-1.2340093367236606,0.8677247500000002
Jose Ramirez,RL,ALB,P,100,22,28.0,93.0,72.0,39.0,38.0,37.0,34.0,53.0,63.0,51.0,40.0,29.0,25.0,$8K  7650,Albuquerque Gladiators,2815,106.74933333333341,0.4051533333333333,0.49838000000000016,1.958836666666667,1.1753,5.738377688575536,-0.9885659397334952,-0.6232844993272537,0.9035333333333335
Julio Fernandez,ML,ALB,P,100,34,29.0,70.0,73.0,89.0,75.0,80.0,82.0,58.0,75.0,68.0,55.0,59.0,0.0,$6.8M  6750000,Albuquerque Gladiators,2815,185.2230000000001,0.30175099999999994,0.3759475,1.2295416666666663,2.8960300000000014,3.7853568606043524,2.367556024604906,4.507302209296002,0.6776985
Kane Williams Jr.,ML,ALB,P,100,28,61.0,99.0,32.0,87.0,76.0,92.0,86.0,58.0,77.0,67.0,57.0,0.0,0.0,$500K  500000,Albuquerque Gladiators,2815,85.69091666666671,0.2784983333333334,0.3413025000000001,1.0933333333333326,2.768973333333333,3.4050178485661733,0.5746713165518429,1.4966325142376127,0.6198008333333336
Kenneth Perez,RL,ALB,P,100,24,24.0,67.0,73.0,27.0,24.0,29.0,26.0,46.0,49.0,36.0,28.0,21.0,12.0,$8K  7650,Albuquerque Gladiators,2815,113.54650000000012,0.42644000000000015,0.5809700000000003,2.0623809523809524,0.8040999999999994,6.859828289101087,-1.1428569062130933,-2.871582466180152,1.0074100000000006
Kennys Soriano,RL,ALB,P,100,20,18.0,33.0,64.0,66.0,32.0,28.0,41.0,13.0,58.0,56.0,34.0,35.0,16.0,$8K  7650,Albuquerque Gladiators,2815,97.56400000000009,0.39781933333333336,0.5284000000000001,1.9538699999999993,2.0780666666666665,5.932690287254758,0.16107767578054996,-0.874611054949955,0.9262193333333335
Lou Hollins,HiA,ALB,P,100,21,29.0,80.0,84.0,45.0,49.0,42.0,29.0,59.0,62.0,56.0,49.0,41.0,22.0,$27K  26250,Albuquerque Gladiators,2815,118.99613333333346,0.37574857142857154,0.47841916666666684,1.766491666666667,1.3733999999999995,5.319040250791818,-0.10311969636075066,0.5158040674956823,0.8541677380952384
Mallex Christenson,AAA,ALB,P,100,36,22.0,70.0,67.0,73.0,51.0,50.0,18.0,61.0,60.0,51.0,54.0,44.0,0.0,$55K  54500,Albuquerque Gladiators,2815,107.69150000000009,0.34821750000000024,0.47463166666666673,1.5778749999999995,2.254641666666667,5.112943910985832,0.18835413018583438,-0.42915642184457004,0.822849166666667
Matty Brenly,RL,ALB,P,100,21,26.0,77.0,68.0,46.0,16.0,22.0,38.0,61.0,54.0,56.0,37.0,30.0,0.0,$8K  7650,Albuquerque Gladiators,2815,104.63116666666677,0.400941,0.5545333333333334,1.896391666666667,1.5431249999999996,5.92092627129138,-0.3637198392046821,-3.2655263940439125,0.9554743333333334
Michael Tropeano,ML,ALB,P,100,35,28.0,96.0,80.0,87.0,94.0,76.0,76.0,76.0,74.0,67.0,62.0,70.0,0.0,$8.3M  8250000,Albuquerque Gladiators,2815,211.63364285714292,0.31093083333333327,0.3884835000000001,1.2739166666666668,2.630076666666666,3.8527474448961594,2.114617215327921,4.525355906636967,0.6994143333333334
Michael Wall,ML,ALB,P,100,30,25.0,64.0,90.0,90.0,63.0,72.0,36.0,36.0,87.0,70.0,60.0,49.0,0.0,$1.6M  1620000,Albuquerque Gladiators,2815,195.19233333333344,0.3138663333333333,0.41052433333333355,1.267291666666666,2.360374999999998,4.437219467716486,1.0053499569133881,2.318650164012775,0.7243906666666668
Mike Nunn,AA,ALB,P,100,24,32.0,88.0,88.0,31.0,37.0,36.0,79.0,62.0,70.0,51.0,51.0,37.0,32.0,$38K  37500,Albuquerque Gladiators,2815,110.9833333333334,0.42297666666666695,0.5158103333333337,1.9652333333333343,1.0432999999999995,6.6455412732347625,-0.8365634359774973,-1.8551731894066976,0.9387870000000007
Mike Twitchell,HiA,ALB,P,100,22,76.0,93.0,34.0,47.0,41.0,44.0,83.0,87.0,75.0,56.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,80.90242857142859,0.3862066666666666,0.48878833333333327,1.7885500000000005,1.7662,4.883007847410851,-0.13758757856145762,-0.6033123619446799,0.8749949999999999
Neal Nicholson,LoA,ALB,P,100,25,23.0,51.0,85.0,45.0,24.0,25.0,26.0,59.0,57.0,54.0,38.0,26.0,0.0,$27K  26250,Albuquerque Gladiators,2815,119.70450000000008,0.38892499999999997,0.5446600000000001,1.9359083333333325,1.5017249999999998,5.937884873492454,-0.4317425493555027,-2.962664830394843,0.9335850000000001
Neil Wallace,HiA,ALB,P,100,25,51.0,64.0,36.0,76.0,30.0,43.0,28.0,60.0,81.0,52.0,31.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,85.8935,0.3492225000000001,0.45775749999999993,1.6098333333333343,2.220899999999999,5.303943432144257,-0.43365778580597647,-0.45311918014835384,0.80698
Orlando Rojas,HiA,ALB,P,100,20,28.0,82.0,62.0,63.0,23.0,29.0,29.0,63.0,65.0,50.0,33.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,124.97933333333341,0.39227016666666686,0.5785800000000002,1.9618791666666662,1.6313916666666668,5.949911804833885,-0.38560601242764037,-2.442002947906429,0.9708501666666671
Pat Tatum,ML,ALB,P,100,38,60.0,77.0,26.0,90.0,75.0,79.0,23.0,57.0,83.0,68.0,0.0,0.0,0.0,$4.4M  4400000,Albuquerque Gladiators,2815,72.06324999999998,0.29591866666666666,0.361153,1.1982166666666665,2.6722333333333337,3.729960571959092,0.13893728930398472,1.2560113113187126,0.6570716666666667
Rick West,RL,ALB,P,100,22,59.0,71.0,20.0,57.0,25.0,19.0,35.0,37.0,52.0,49.0,20.0,0.0,0.0,$8K  7650,Albuquerque Gladiators,2815,62.88999999999997,0.40471785714285724,0.6011900000000004,1.9914333333333318,1.7356666666666676,6.387487377915926,-0.5627659336070768,-1.2925492425573366,1.0059078571428577
Roosevelt Brewington,LoA,ALB,P,100,24,59.0,94.0,44.0,49.0,15.0,22.0,27.0,41.0,58.0,50.0,36.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,113.42575000000014,0.3923725000000001,0.593856666666667,1.9073749999999996,1.8340666666666663,6.029798621559461,-0.8234843664268915,-1.7825196833106431,0.9862291666666672
Scott Hanigan,ML,ALB,P,100,25,31.0,92.0,73.0,90.0,75.0,77.0,27.0,79.0,81.0,71.0,54.0,53.0,42.0,$343K  343000,Albuquerque Gladiators,2815,203.24845454545465,0.30154428571428576,0.38684664285714293,1.2074000000000005,2.332458333333333,3.9691321035079437,1.6802357925219547,4.063330724353284,0.6883909285714287
Shouhei Hujimoto,ML,ALB,P,100,26,55.0,97.0,26.0,88.0,73.0,84.0,86.0,80.0,89.0,74.0,53.0,0.0,0.0,$1.4M  1350000,Albuquerque Gladiators,2815,65.12300000000002,0.30394685714285713,0.37911200000000017,1.2561049999999994,3.1227433333333328,3.5619884111972504,0.3499487572828132,1.2192626478073245,0.6830588571428573
Spike Glavine,RL,ALB,P,100,22,52.0,88.0,11.0,58.0,26.0,25.0,83.0,65.0,64.0,35.0,0.0,0.0,0.0,$8K  7650,Albuquerque Gladiators,2815,60.36899999999996,0.3886628571428573,0.6064200000000001,1.9564,1.9095999999999997,5.887491936099763,-0.5272202182289439,-1.0653920369224068,0.9950828571428574
Sven Alexander,RL,ALB,P,100,23,31.0,30.0,60.0,35.0,19.0,24.0,72.0,37.0,53.0,51.0,27.0,24.0,11.0,$8K  7650,Albuquerque Gladiators,2815,103.32600000000009,0.4104780000000002,0.58542,2.0885966666666658,1.38044,6.540638024764162,-1.1493338205071837,-1.8225499555984361,0.9958980000000002
Ted Blash,RL,ALB,P,100,21,85.0,33.0,37.0,35.0,20.0,25.0,38.0,31.0,49.0,41.0,31.0,0.0,0.0,$8K  7650,Albuquerque Gladiators,2815,129.75900000000016,0.4213800000000004,0.6242600000000009,2.0216,1.2089999999999994,6.763727343147783,-0.4522985936650627,-2.0678769820839618,1.0456400000000015
Tim Schrenk,AAA,ALB,P,100,28,45.0,64.0,31.0,37.0,65.0,77.0,91.0,41.0,86.0,71.0,52.0,0.0,0.0,$55K  54500,Albuquerque Gladiators,2815,75.05666666666667,0.3478004999999998,0.38931999999999994,1.507425833333333,1.5014555555555558,4.689177745046507,-0.28026653213907754,-0.20496815867588944,0.7371204999999997
Tom Welsh,RL,ALB,P,100,20,69.0,89.0,9.0,63.0,26.0,23.0,18.0,45.0,63.0,48.0,32.0,0.0,0.0,$8K  7650,Albuquerque Gladiators,2815,64.91499999999998,0.38499666666666665,0.5919000000000001,1.8626000000000003,1.5228116666666671,6.215867834518921,-0.8495429364052623,-0.9889396180043077,0.9768966666666667
Tommy Gordon,LoA,ALB,P,100,22,80.0,71.0,20.0,63.0,26.0,25.0,44.0,65.0,60.0,54.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,63.05399999999997,0.38950799999999985,0.556995,1.9018249999999997,1.4789000000000003,6.0419856430476875,-0.9464309194264332,-1.5188807796878268,0.9465029999999999
Trace Layne,HiA,ALB,P,100,25,36.0,89.0,44.0,37.0,39.0,45.0,58.0,25.0,56.0,49.0,31.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,105.70450000000014,0.39924999999999977,0.5316440000000001,1.9356500000000003,1.1888250000000005,6.318815898484553,-0.3502498392433415,-1.1701412366475854,0.9308939999999999
Vasco Martin,AA,ALB,P,100,20,15.0,97.0,71.0,42.0,62.0,77.0,40.0,64.0,74.0,59.0,35.0,0.0,0.0,$38K  37500,Albuquerque Gladiators,2815,92.39226666666673,0.32605083333333335,0.40936083333333323,1.3852499999999994,1.4780000000000002,4.753151262282177,0.07467519213327019,0.6537872351902524,0.7354116666666666
Walt Salazar,AA,ALB,P,100,22,41.0,50.0,33.0,63.0,51.0,66.0,82.0,32.0,78.0,56.0,36.0,0.0,0.0,$38K  37500,Albuquerque Gladiators,2815,69.46134682539682,0.34685633333333327,0.45584933333333344,1.4807600000000003,2.4997999999999996,4.850002605250783,-0.113438589183992,-0.15275102296675805,0.8027056666666668
Wil Orie,AAA,ALB,P,100,23,51.0,49.0,27.0,90.0,60.0,64.0,27.0,56.0,81.0,77.0,35.0,0.0,0.0,$57K  57000,Albuquerque Gladiators,2815,64.16,0.33069500000000007,0.40803000000000006,1.3888150000000001,2.1098100000000004,4.392860359551137,0.146474889566286,0.8786909030490212,0.7387250000000001
Willie Valentin,ML,ALB,P,100,29,62.0,92.0,20.0,87.0,72.0,85.0,34.0,58.0,84.0,73.0,58.0,0.0,0.0,$1.5M  1500000,Albuquerque Gladiators,2815,57.768999999999984,0.30969157142857145,0.38069500000000006,1.2679533333333337,2.4037499999999987,4.064866196833704,0.07501283086073107,1.053165780884424,0.6903865714285715
Ahmed Myers,RL,LAA,P,100,23,25.0,53.0,68.0,15.0,17.0,23.0,36.0,63.0,62.0,36.0,21.0,22.0,22.0,$8K  7650,Anaheim Angels with attitude,2799,102.78650000000009,0.4317700000000005,0.6092,2.1176499999999994,0.7656999999999995,6.665452763176194,-1.6804963253600378,-3.005925350739267,1.0409700000000004
Anthony Sipp,AA,LAA,P,100,23,97.0,82.0,41.0,56.0,28.0,29.0,69.0,58.0,60.0,45.0,0.0,0.0,0.0,$38K  37500,Anaheim Angels with attitude,2799,104.77633333333344,0.39223000000000013,0.5847733333333335,1.9574583333333333,1.9139999999999988,5.8189544848925605,-0.7289147455084845,-1.2588807499401058,0.9770033333333337
Aramis Sardinha,RL,LAA,P,100,20,29.0,66.0,61.0,33.0,26.0,17.0,31.0,28.0,48.0,40.0,30.0,30.0,13.0,$8K  7650,Anaheim Angels with attitude,2799,111.75803333333344,0.42674000000000034,0.6134488571428576,2.08835,0.8438999999999995,6.890012216631882,-1.41916756028353,-2.760454311523427,1.040188857142858
Aurelio Oliva,AAA,LAA,P,100,30,71.0,85.0,26.0,81.0,64.0,61.0,91.0,57.0,76.0,81.0,0.0,0.0,0.0,$71K  71000,Anaheim Angels with attitude,2799,66.4427333333333,0.32275500000000007,0.3948899999999999,1.3727800000000001,2.332933333333333,4.149914154418571,0.1141089980173116,0.759652849159786,0.717645
Benji O'Connor,LoA,LAA,P,100,22,74.0,98.0,44.0,57.0,41.0,41.0,80.0,33.0,80.0,70.0,0.0,0.0,0.0,$27K  26250,Anaheim Angels with attitude,2799,85.73791666666669,0.37883666666666677,0.48500583333333336,1.7312333333333327,1.8194999999999992,5.31034300907485,-0.3292243882324372,-0.8737414939571029,0.8638425000000001
Bernard Dempster,RL,LAA,P,100,22,54.0,70.0,35.0,51.0,27.0,24.0,66.0,63.0,50.0,44.0,27.0,0.0,0.0,$8K  7650,Anaheim Angels with attitude,2799,114.6893333333335,0.4012716666666667,0.6201033333333335,1.9957916666666657,2.095958333333332,6.0577527093195025,0.17408763341100159,-1.7431978912293074,1.0213750000000001
Bob Glass,LoA,LAA,P,100,21,24.0,59.0,81.0,37.0,17.0,23.0,40.0,59.0,57.0,42.0,30.0,17.0,0.0,$27K  26250,Anaheim Angels with attitude,2799,110.55800000000008,0.4109333333333337,0.6229000000000005,1.99482,1.3089999999999997,6.4448783269020815,-1.2325721152129792,-3.425064073163,1.0338333333333343
