Rank,Player,Pos,Bats,Throws,Age,Contact,Power,LH,RH,BattingEye,BaseRunning,Bunt,Push/Pull,OVR,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,Durability,Health,Speed,Patience,Temper,Makeup,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xOPS,pcR,RLR,pos_adj,xWAR
102,"Barr, Lawrence",1B,R,R,22,51,76,26,33,77,61,31,44,62,61,43,47,46,5,78,100,27,86,77,77,0.24322583333333334,0.31208500000000006,0.4641715476190475,500.9706666666667,936.7778535690159,0.8951757417154709,100.58859156124849,88.85160883345445,-5.600296503588064,-5.299806724294114,0.11624657741102945,1.1245241627242346,-0.01986036546713032,0.7762565476190475,0.0,16.699022222222226,-8.031360198636968,-0.11166666104242608
1,"Barrett, Clinton",1B,L,L,18,89,92,93,75,100,46,12,48,87,37,40,54,47,25,89,87,44,81,48,85,0.3101735,0.4083600000000001,0.5728949999999999,674.655,1159.193760678172,0.9334206475258566,162.19978877646807,146.04431601149517,57.94682783716016,-9.895589938413345,-0.4136294694905147,1.2190469806804856,0.10424136697749158,0.981255,0.0,22.488500000000002,-9.938218112810118,6.230878319895965
269,"Bartee, Warren",1B,L,L,22,13,30,21,38,13,66,51,72,50,86,72,37,50,15,82,91,77,40,7,80,0.242834,0.2600608333333334,0.3470557142857141,444.6758333333333,902.9064973853528,0.9518406247669668,47.97668600044118,49.06115814228397,-54.61770869238154,2.984482509534823,2.536375404159219,3.0237155574616787,-0.029635953012213365,0.6071165476190474,0.0,14.822527777777776,-7.740967913111735,-4.185591003096367
246,"Batista, Santiago",LF,R,R,20,61,6,76,4,24,68,100,75,51,71,60,40,54,3,70,67,88,49,3,65,0.2571133333333333,0.27784166666666676,0.2404179999999999,521.0516666666667,753.5822821743786,0.9568191086959453,26.233854937880324,56.21401168945034,-78.9623256393325,4.453052346363474,0.6092510358429614,1.9669162086383865,-0.005918549743320038,0.5182596666666667,0.0,17.36838888888889,-3.8764520687982444,-5.951675997960636
185,"Bellhorn, Roger",1B,R,R,18,36,28,53,24,50,90,26,24,53,39,37,54,44,0,81,86,57,82,7,100,0.24708666666666662,0.32737333333333324,0.360925,525.17,862.3285990655422,0.8896779083203081,65.01956723486131,63.67255839664462,-46.10289237118406,-2.376676667181899,-2.330635845390596,-1.2648754838097458,-0.12095404428783381,0.6882983333333332,0.0,17.505666666666666,-7.393077838353414,-3.9944840905839145
13,"Below, Stefen",LF,R,R,20,43,84,38,66,58,57,46,26,77,69,76,43,74,15,97,96,76,69,5,59,0.24812933333333334,0.317605,0.4689783333333332,560.7346666666667,1173.879993274808,0.9665107934457265,101.55343475880427,98.46306481013464,-2.1457971905938327,1.6155897172104563,1.8918691341482097,5.135774238209711,-0.003943536002467279,0.7865833333333332,0.0,18.691155555555557,-6.038477331660536,1.73945387698621
391,"Black, Jaime",1B,L,L,22,15,11,24,18,15,64,73,74,41,56,76,46,36,4,90,23,78,77,7,61,0.214255,0.2618583333333333,0.2604150000000001,514.27,883.203813880682,0.7040498848559752,12.106632425311732,24.377441014912176,-107.17001871308926,3.1882238214714516,-4.465539472790693,2.7227233049893917,0.07590084620623355,0.5222733333333334,0.0,17.142333333333333,-7.5720491587849965,-9.241288256386225
76,"Bogar, Larry",1B,L,L,21,56,72,25,59,63,55,66,42,65,40,46,48,69,0,81,90,54,31,50,81,0.26720000000000005,0.32707499999999995,0.4200199999999999,516.2841666666667,985.1129928007722,0.9312706021427068,88.34196252305239,77.13932768181864,-12.232469312517301,-3.0218818623433936,0.07408936526781237,0.9558838978129731,-0.1056719962548148,0.7470949999999998,0.0,17.209472222222225,-8.445756111117731,-0.5578460834253796
38,"Bong, Vinny",1B,L,L,22,69,29,4,21,86,72,84,30,70,70,35,74,58,11,100,78,95,81,8,100,0.25244000000000005,0.323915,0.35628499999999996,545.4233333333333,1013.6150703020394,0.7993459559164047,68.79398315067905,71.58566427215187,-29.060759058808948,7.381233472810213,0.8221999097389191,1.5595186126532623,-1.17408787079272,0.6801999999999999,0.0,18.180777777777777,-8.690115486128596,-1.0713287955109279
248,"Boone, Robert",1B,S,R,21,27,33,36,24,40,46,70,59,51,80,73,38,54,0,78,98,58,16,100,73,0.21709000000000006,0.2788662857142856,0.3532900000000001,515.0066666666667,897.9150627423078,0.9573668679963262,56.6803314266788,46.13507600386315,-38.739935212660505,-1.7738545626420015,-0.6973772199773306,0.8405850433009857,-0.017182043861522802,0.6321562857142857,0.0,17.166888888888888,-7.6981744062269195,-3.0443024595456527
222,"Borbon, Bernie",LF,R,R,20,37,8,13,32,66,85,90,54,53,80,77,40,41,1,69,100,85,90,5,30,0.2184735714285715,0.32077999999999995,0.28337700000000016,515.9474999999999,855.5619364306331,0.8754085518907282,60.42043446929024,59.12920324867963,-45.17440012990477,7.966473323732381,0.6958167420093698,1.1953020855577627,-0.022594002418318,0.604157,0.0,17.198249999999994,-4.4010387676472895,-2.339875290006937
101,"Bowker, Phil",2B,R,R,19,42,13,23,62,24,96,100,83,62,100,100,59,63,13,78,93,100,54,87,50,0.2391235714285714,0.29763833333333345,0.29821000000000003,463.2525,967.6985213793814,0.9661138192260581,59.69213062907457,71.59192534847826,-38.32831706353637,22.171760156913134,5.909613309981988,12.162915475880471,-0.017727364990236586,0.5958483333333335,0.0,15.44175,1.6592910174543576,1.321091283801629
467,"Boyle, Duffy",DH,R,R,22,27,53,34,19,56,53,20,45,49,43,41,26,25,10,98,81,18,56,80,67,0.230165,0.34184000000000014,0.42866833333333326,531.7666666666668,1007.009704399854,0.11854428855535169,76.22033975027551,59.293775643071875,-50.880788055585306,-3.9798518211028533,-0.796609569391034,-1.2950664846995597,-0.36382847007651425,0.7705083333333334,0.0,17.72555555555556,-13.813576192041893,-5.265631211867159
186,"Bravo, Pascual",1B,L,L,18,38,17,30,31,28,52,84,54,53,76,48,32,49,24,95,98,81,100,85,42,0.23642999999999997,0.28006499999999995,0.29703099999999993,501.26,969.3574797138572,0.6480651221848677,58.09771848761224,41.38870670591691,-57.961654769331844,1.6208321597144066,-0.636902689166318,0.694594768357218,-0.02869322766815153,0.5770959999999998,0.0,16.708666666666666,-8.310677981085881,-4.762137334000571
130,"Brede, Otis",3B,L,R,18,63,36,47,49,38,56,70,53,57,59,59,62,71,12,73,68,32,78,56,79,0.24986400000000003,0.2957088095238095,0.3220975000000001,477.445,848.9177256617695,0.9570911104160914,63.24192592300935,56.039102704019925,-28.449880277046205,-4.829011269687124,0.8498386463586196,2.0499403679113315,0.015308230258636037,0.6178063095238095,0.0,15.914833333333334,1.4556202429042686,-1.3967942510825093
447,"Broome, Ross",DH,L,R,22,39,28,17,24,27,21,19,46,36,16,22,58,54,44,65,100,15,52,40,72,0.23972,0.30639999999999995,0.31434999999999996,479.4795,697.5549296867102,0.612468734886235,47.69903839233065,48.71517473814542,-47.255919836473076,-4.119081057490244,-2.442960781683176,-2.0938362974305944,-2.735756482882922,0.6207499999999999,0.0,15.982649999999998,-9.56865472821276,-4.7426448785217525
457,"Buckley, Dana",DH,S,R,19,23,49,15,30,56,56,27,31,41,0,16,33,62,61,60,85,33,55,22,45,0.22490999999999997,0.314576,0.369034,441.16,654.3596135620028,0.8842418537591663,61.43931048455183,56.971537941317685,-37.96826161519464,-4.017839785922309,0.3551976190839381,-6.370650434873315,-8.112750851966009,0.68361,0.0,14.705333333333336,-8.976126386310051,-4.296418799940265
120,"Burks, Willis",LF,S,R,20,44,41,46,35,35,63,48,47,60,51,76,78,58,0,89,91,54,88,82,79,0.23521716666666667,0.28555600000000003,0.34710300000000005,535.1,1029.614010103047,0.9682592645304916,61.11455805057515,56.626881151498985,-31.75693632712772,-2.8796227082619885,-3.251353107706308,-1.7295735909146073,0.006568970731819857,0.6326590000000001,0.0,17.836666666666666,-5.296368364727607,-2.4013994421236213
469,"Bush, Ivan",DH,L,L,18,46,16,14,42,56,42,55,45,48,12,38,28,44,11,82,100,71,80,55,53,0.24988500000000002,0.3346481666666666,0.31133833333333344,520.2683333333333,925.1639132034034,0.5170877017142295,58.471068370882506,52.50502769581496,-48.22507752151124,-1.741845114997248,0.5935185250951613,4.2850478428054535,0.016296182313093835,0.6459865,0.0,17.342277777777777,-12.690863006905397,-4.135449045246648
360,"Byrdak, Sid",SS,S,R,21,8,5,22,19,37,49,47,56,44,81,73,73,77,0,97,81,29,73,80,45,0.21253,0.272133,0.21571000000000023,510.775,931.3597904853523,0.9700216907844089,20.536874224592644,27.208291994141653,-76.76849158031652,-2.9342930585235765,-2.9176771763776075,-0.9794264884364501,0.04391303106581761,0.48784300000000025,0.0,17.025833333333335,4.790945424307368,-5.933031117749756
441,"Cairo, Ildemaro",DH,R,R,18,76,15,36,44,34,71,95,53,53,77,49,29,54,17,63,88,81,77,50,33,0.2735416666666665,0.29554166666666665,0.3104750000000001,461.14916666666664,764.1613355949521,0.5912685466559303,58.05775317418985,59.385014087337524,-48.75621154454123,5.351169432822632,1.9114898011342354,5.809849497843512,-0.0023805541450784675,0.6060166666666668,0.0,15.371638888888889,-10.482322847667383,-3.2964165152200486
432,"Callaway, Yannick",DH,R,R,22,49,50,3,39,35,37,60,51,51,4,35,60,84,86,71,100,26,40,21,94,0.24591500000000013,0.2865019999999999,0.32653,456.54,789.5455734021962,0.7882288699354763,54.49744908305196,49.26069042393884,-36.986869154765046,-4.617183466685904,-0.6583912428622283,6.6544593129250735,3.6226964918254185,0.6130319999999999,0.0,15.218,-10.830529127602142,-3.0803481115949074
154,"Calvo, Tony",LF,R,R,18,34,19,7,14,75,67,72,60,55,68,70,43,60,0,79,100,86,82,16,44,0.20906399999999997,0.31844000000000006,0.2872000000000001,520.4666666666667,894.805862672627,0.9683916741614611,36.59739091481242,55.51809317828756,-70.92060098887096,4.784648667095266,0.03794053534213869,0.6995823283426776,-0.02265151205761818,0.6056400000000002,0.0,17.34888888888889,-4.602910816217217,-5.3106504494743305
199,"Carey, Burt",2B,R,R,20,37,15,24,21,31,50,64,60,54,77,84,89,64,2,97,97,47,12,54,49,0.22999099999999995,0.27452499999999985,0.261328,517.74,1032.3723363764584,0.9725728488166882,30.676569109961005,36.75599543966548,-66.05608618494894,-4.248366910287163,0.9491369846952881,-2.390035443817104,-0.03394961679985884,0.5358529999999999,0.0,17.258,1.7701857619623773,-5.409012242561903
380,"Carmona, Bruce",LF,R,L,20,8,62,15,22,14,29,11,35,42,64,60,53,58,7,87,89,10,59,66,55,0.21831999999999974,0.26421000000000006,0.4470991666666665,491.35,910.9259602222592,0.9619885482086193,84.51188764465618,71.9732299062876,-14.795084692341113,-2.4863499133344487,-1.2217042399813736,-2.321060373987559,-0.006785731193782036,0.7113091666666665,0.0,16.378333333333334,-4.685833128715325,-0.7972462488152618
188,"Carrasquel, Paco",1B,L,L,22,23,31,13,17,77,78,66,68,55,57,36,48,50,14,81,97,85,56,34,77,0.20950333333333315,0.30520333333333344,0.35821,520.7133333333333,855.2728183139116,0.870531926070004,57.34669073300243,56.96766163857969,-67.4227053699762,5.5900070902441605,-0.7362061093347341,-1.3455446295273403,-0.07149213889039718,0.6634133333333334,0.0,17.35711111111111,-7.332585890894304,-5.357348929213789
52,"Caxito, Don",LF,R,R,18,13,27,80,49,56,71,88,52,66,80,81,40,50,9,89,86,99,51,32,52,0.27861383333333317,0.34220800000000007,0.3703199999999998,537.2266666666667,1037.3520757555962,0.9585226245422799,77.96652178160959,76.41001851790652,-29.024323232000754,8.32891679935683,1.4509598632340224,4.224616029805532,-0.019742754607234986,0.7125279999999998,0.0,17.907555555555557,-5.336173229195453,-0.3930202926783246
322,"Chisenhall, Breland",SS,L,R,19,47,20,18,21,32,73,61,84,47,85,79,68,71,3,74,55,23,60,51,32,0.23536833333333337,0.28244,0.2853083333333333,475.34,783.0522703956813,0.9677632476549372,38.464151393557216,38.2897538107735,-55.477386669776934,-6.742955273851953,0.22523934806062323,1.9444185675991568,-0.029227509207991206,0.5677483333333333,0.0,15.844666666666667,4.028046658413999,-4.072228689055044
472,"Clark, Gregory",DH,R,R,21,43,20,20,14,54,15,45,30,44,34,35,49,21,0,87,89,51,71,10,66,0.24031042857142862,0.3309500000000002,0.29334249999999984,518.4466666666667,925.3790438305587,0.6497663681312613,37.763023915445416,39.92452867109961,-80.72384063721206,-3.5101223850864347,-2.1248643140730015,-2.1169325034716766,0.06492662915768595,0.6242925,0.0,17.281555555555556,-12.693814044314935,-8.240886332193107
112,"Clark, Jeremie",LF,L,L,19,67,68,44,55,31,43,37,84,61,58,58,45,49,3,81,79,51,59,65,50,0.2561500000000001,0.2967266666666665,0.46201122222222224,534.874,995.5464790314436,0.8985440907102902,94.09111208771708,84.74326179942149,-6.564828429070944,-4.377760531181476,0.06994051592191447,2.38578595074673,0.03212414214248761,0.7587378888888887,0.0,17.829133333333335,-5.121123863330471,0.4183989841725495
449,"Clark, Marvin",DH,S,R,22,0,24,18,28,32,48,13,22,35,2,25,73,62,64,73,62,15,64,71,81,0.21557166666666666,0.28648000000000007,0.34336500000000014,461.53399999999993,684.6182211432606,1.0438400057360293,53.27628389249722,42.157322041235886,-47.83030843146403,-3.4456478971606748,-17.61189854692935,-32.40296399868866,-1.4583628705644183,0.6298450000000002,0.0,15.384466666666665,-9.391196449153094,-7.829915808820437
202,"Cleary, Riley",2B,S,R,19,51,1,20,32,42,62,71,27,54,75,62,59,57,10,94,57,83,72,28,49,0.23934166666666667,0.29514000000000007,0.2643849999999999,514.0566666666666,945.8074504900724,0.9541003812028588,61.76819009747877,54.134990104930004,-34.54841163280537,2.5801806993338174,-0.11487596330206112,-0.9988328837103877,-0.03780523371750293,0.559525,0.0,17.135222222222218,1.6217548876715917,-1.432230822511568
267,"Colbrunn, Nate",LF,R,R,21,10,40,10,31,40,37,58,31,50,47,56,53,74,5,91,83,70,47,83,74,0.21784333333333325,0.29074,0.35651499999999997,515.7983333333334,944.7396388053894,0.9526413789516394,46.03554977068912,50.53010333772542,-45.49114965793032,-0.699466223487944,-1.235584087020402,1.1995293067450852,-0.09091313720780587,0.6472549999999999,0.0,17.19327777777778,-4.859771804554472,-3.2915487772543397
444,"Conroy, Bruce",DH,R,R,18,40,46,16,24,33,40,57,73,53,73,47,30,47,7,96,92,65,100,51,51,0.23209416666666674,0.2822499999999999,0.382515,535.12,995.7669087536633,0.45350177710370193,55.40673981654124,46.46740754815034,-54.931728325865315,-2.164660817451912,-0.8741947760315969,0.014844019143549025,-0.0171820438615227,0.6647649999999998,0.0,17.837333333333333,-13.659354029542705,-5.3321361895603925
321,"Cookson, Dustin",SS,R,R,18,36,17,17,0,41,64,49,44,45,68,81,79,85,0,83,55,4,81,80,90,0.21228249999999996,0.29228000000000004,0.23160499999999995,453.885,807.9894765354693,0.9687097719731744,20.95524173440236,28.595908350124596,-68.59228541997395,-4.41739181650787,0.5039773675453563,2.2347685601148317,0.23212253581969386,0.5238849999999999,0.0,15.1295,4.156324467775049,-5.189570967826451
151,"Corbin, Kenny",LF,R,R,21,37,66,36,60,22,44,28,66,57,48,60,54,74,10,82,88,60,2,85,37,0.24417916666666667,0.2801980000000001,0.4166046666666666,489.57,974.3068556599319,0.9603040667008135,81.35829028353005,77.26390716599332,-14.061509254482857,-1.4894834675449227,-0.6315972527173492,0.8518548556176153,0.01871931046633126,0.6968026666666667,0.0,16.319,-5.011866541460554,-0.34187921320394793
169,"Cortez, Lorenzo",1B,S,R,19,54,26,6,9,40,81,71,47,56,60,32,67,57,19,92,92,78,52,0,70,0.22943466666666673,0.2877419999999999,0.34378999999999993,532.29,895.4510220456868,0.8183599461607126,44.44851734252461,50.251905452901845,-75.74620010051338,4.205364531841154,-0.3956709731189795,-3.0335664815785375,0.009864967748420935,0.6315319999999998,0.0,17.743,-7.677049228786753,-6.50178947795846
431,"Crosby, Brent",DH,R,R,19,63,48,58,49,53,38,25,44,59,25,34,56,61,21,81,89,44,70,79,52,0.2619858333333334,0.3313050000000002,0.3805691666666664,536.556,937.2584171909839,0.6959926544594628,85.75081958154333,75.15242808427335,-11.181382235959402,-5.985536738982529,-0.02995386130379122,0.8461571705133156,0.06993657840223584,0.7118741666666666,0.0,17.8852,-12.856768411398956,-1.1381509294233911
468,"Cruz, Julio",DH,L,L,18,21,38,4,17,51,16,0,22,39,46,39,28,34,27,85,91,12,85,82,57,0.20066999999999996,0.3332500000000001,0.3516574999999999,484.05,874.4630485698581,0.4478464779000498,53.8470870206555,43.856900706897285,-68.50207698665955,-3.5016489138555293,-1.0788893900492975,-2.8157885000194955,-0.035652376687520075,0.6849075,0.0,16.134999999999998,-11.99537789533413,-7.12380736044502
453,"Culver, Jason",DH,S,R,18,38,39,32,19,26,16,60,35,45,12,5,50,64,51,80,69,78,87,23,52,0.23828866666666676,0.289005,0.34848500000000016,446.406,761.9624321013689,0.5315920597182676,56.63998986053955,65.31504837775998,-40.41044121044501,0.39017988250388735,-2.3133013933977984,-8.77308860756368,-4.150747979843777,0.6374900000000001,0.0,14.880200000000002,-10.452159562433042,-4.471567628128718
26,"Darr, Damon",SS,S,R,18,77,25,71,25,58,94,66,27,71,79,83,93,95,8,88,57,45,100,54,58,0.24412033333333333,0.32758166666666655,0.2921133333333332,482.94,948.8384729102254,0.9696848614329893,54.45370917063554,54.03699160973235,-35.438666652823045,-6.45081559277913,2.9723762649514436,5.243645211554983,-0.006388096658009055,0.6196949999999998,0.0,16.098,4.880856342130789,-1.5790707759121423
123,"Darwin, Patrick",LF,S,R,21,23,71,38,25,75,0,15,3,60,60,49,70,46,8,99,80,44,51,78,71,0.22286666666666663,0.322123,0.4216676666666666,514.9730000000001,1077.1321751568466,0.6658197114795206,90.72929289302421,87.13996365595784,-10.453429578841197,-4.2519776751882965,-0.26250265607261253,-0.5450466934528169,-0.541414680671922,0.7437906666666666,0.0,17.16576666666667,-5.540803370148389,-0.36541222893277914
72,"Davis, Jerome",SS,R,R,19,32,9,78,56,68,48,59,47,65,69,84,85,76,0,95,45,65,33,50,89,0.2676946666666666,0.3253335714285713,0.2852319047619047,508.87,1038.3161324486136,0.9671746119299984,62.02264761848191,55.576649337997935,-32.47178330435086,-2.1499386184232416,1.769407323088542,3.6485863547182524,0.03597587434688897,0.610565476190476,0.0,16.962333333333333,5.341132368562828,-0.8738136972060262
307,"Delaney, Russell",2B,R,R,19,33,1,39,8,18,79,89,23,48,80,81,44,53,7,90,59,80,96,99,43,0.2023,0.25067000000000006,0.24918000000000018,494.3966666666667,892.9801481235772,0.9658371580105771,4.700166054658307,37.21976230893109,-81.57027895885925,5.198336424386224,-0.23423126759969393,-0.963568954486859,-0.03786274335680304,0.49985000000000024,0.0,16.47988888888889,1.531173093490359,-5.979295331694078
140,"Despaigne, Jimmie",2B,R,R,18,31,27,31,30,47,57,16,43,56,74,73,65,70,8,88,78,63,87,93,74,0.236115,0.32094000000000006,0.36153333333333326,515.7769999999999,947.4515247009695,0.9719483188538953,64.65903038805817,54.7569032404833,-35.77899088122398,-1.9206642304273764,-0.5897417334347829,0.11664852387267236,-0.02482414147938438,0.6824733333333333,0.0,17.192566666666664,1.62457394496051,-1.8914065913743177
304,"DiFelice, Eric",RF,R,R,18,29,17,12,35,8,28,69,56,46,71,44,60,63,17,92,88,58,97,45,100,0.22067249999999994,0.2606733333333333,0.2746100000000001,468.3625,903.3112945202738,0.9249258919085097,54.02798013425432,45.296690317274276,-50.71695352953673,-3.5332850389275037,-3.837010829466703,-0.7041903342997465,-0.16616605489733507,0.5352833333333333,0.0,15.612083333333333,-4.646663037655729,-4.433640362411219
203,"Diggins, Raymond",2B,S,R,22,35,0,30,19,30,92,72,33,54,71,87,58,63,7,97,65,88,25,73,44,0.23158333333333325,0.27294000000000007,0.2669135714285714,480.36333333333334,982.8755802996457,0.9678308600291743,28.516869120350314,49.94316063553444,-69.95990870927419,8.489789332482014,0.2009161163587827,1.5083875206499278,-0.037862743356802966,0.5398535714285715,0.0,16.01211111111111,1.6853147810350577,-4.259808046255528
