Player,Lvl,Frn,Pos,%,Age,Durability,Health,Contact,Power,LH,RH,BattingEye,BaseRunning,Speed,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,$,team,teamid,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xpcR,xOPS,RLR,pos_adj,xWAR
Bob Wainhouse,HiA,LAA,C,100,21,60,63,59,38,27,17,18,45,12,27,37,73,58,75,$27K  26250,Anaheim Dirty Halos,6878,0.22543869593039018,0.2683893811956165,0.2973839633072161,303.55865660775453,652.7880685469136,0.9522599999999999,41.594096566892894,53.682718012108644,-113.40266555073866,-3.6579457389231034,-0.5340394982491162,0.5280413009133068,1.7357461650566999,0.10006192600820686,0.5657733445028326,10.11862188692515,3.357963315570543,-10.386985026590498
Chico Tatis,ML,LAA,SS,100,24,94,78,41,63,5,55,27,68,99,87,87,88,87,0,$5.0M  5000000,Anaheim Dirty Halos,6878,0.22847219404433822,0.27096070867792893,0.3894412712343771,549.6308308504522,1082.247543597594,0.9649869999999996,66.12090033466716,63.1503003821185,-94.50752474838453,8.447881847546489,2.837041740261978,4.780831884842926,0.0,0.09910549029126305,0.660401979912306,18.321027695015072,5.567116993814783,-5.7843898444395485
Cliff Ross,LoA,LAA,2B,100,19,65,96,22,8,39,23,36,43,87,78,50,53,39,10,$27K  26250,Anaheim Dirty Halos,6878,0.22007306692034934,0.2737928342204099,0.2446244119113028,382.0548294791952,747.9362419396639,0.83336,31.418724236246398,60.33962711424263,-158.06882866285494,1.039245231803057,0.15658345300181314,2.057460177888597,0.0,0.09942505005863968,0.5184172461317127,12.73516098263984,1.282469550651001,-14.206765461982936
Cody Starr,RL,LAA,1B,100,19,67,61,18,25,20,14,27,40,40,42,26,30,25,1,$8K  7650,Anaheim Dirty Halos,6878,0.21606068270913342,0.2652529921044484,0.27342340321545844,343.22463460080326,689.3487425083295,0.53384,32.61003137309357,40.32939184699596,-140.11596430939477,-3.377425480015524,-4.277514761595075,-6.075375041275465,0.1110935925248334,0.09913262789603795,0.5386763953199069,11.440821153360108,-5.910054376786089,-14.517551136415962
Dayan Amaro,HiA,LAA,1B,100,24,89,93,18,14,21,17,28,60,51,71,58,54,59,9,$27K  26250,Anaheim Dirty Halos,6878,0.20882310941345264,0.25586958068310084,0.22441816199439168,430.60156535636634,918.0139121599495,0.8028099999999999,20.787246750253452,36.90621148616702,-175.89256443681825,-2.30456548647914,-2.2244296968236403,-1.8774982753501293,0.0,0.09924538354215219,0.4802877426774925,14.353385511878878,-7.87048964471836,-17.496264076335198
Don O'Shea,AAA,LAA,3B,100,25,80,69,58,58,64,71,44,57,60,60,66,76,65,0,$59K  59000,Anaheim Dirty Halos,6878,0.2648779730056719,0.3166763983103174,0.42137003911670157,540.4338258467615,994.2919272780418,0.9727,88.6408678950907,84.3306272073549,-11.410520612707728,-2.0871468253411156,0.4641252595017604,0.3673689874727482,0.0,0.09940894698200754,0.738046437427019,18.014460861558717,1.7048901359362856,0.6641088364369726
Edwards Miller,LoA,LAA,1B,100,23,95,77,37,23,27,23,38,53,67,68,65,54,47,8,$27K  26250,Anaheim Dirty Halos,6878,0.22383727842487186,0.2778201941808195,0.27380251000776673,494.3341289712116,1001.2884841766208,0.8833625000000004,39.13939489732051,57.900188171522785,-121.8848875197332,-0.8839850905828129,-1.350740724026193,-0.21046735894952132,0.0,0.09906568090781111,0.5516227041885862,16.477804299040386,-8.584434878057449,-11.599484060387216
Edwin Hawkins,LoA,LAA,2B,100,20,75,77,18,14,11,14,26,36,55,61,41,48,44,2,$27K  26250,Anaheim Dirty Halos,6878,0.20866331314902362,0.25742987074945906,0.2343517053172003,368.7562843374908,766.0829039448872,0.8764716666666671,22.6573186372921,27.701942042180693,-185.45566752745768,-2.79237194874398,-3.362613804416019,-4.340729473354279,0.0,0.09902538463182754,0.49178157606665934,12.291876144583027,1.313585226242948,-18.03967949737069
Ernest Lush,LoA,LAA,RF,100,20,80,95,29,40,30,25,28,57,48,55,38,56,41,4,$27K  26250,Anaheim Dirty Halos,6878,0.22363096336177743,0.2710022121686152,0.31750421099635623,435.97411597240716,869.0904868245125,0.7928879999999997,45.88922622851582,50.63620578999039,-105.38449000557999,-4.026839852322493,-1.217375066974667,-3.1924051961246978,0.0,0.09999004255922518,0.5885064231649715,14.532470532413573,-4.47063007625778,-10.335170014584065
Evan Buckley,HiA,LAA,LF,100,22,73,97,12,12,20,19,32,45,67,68,45,47,45,3,$27K  26250,Anaheim Dirty Halos,6878,0.2103856293595141,0.2615124947948019,0.23401954398277247,383.12470728345215,786.1619691848755,0.8039700000000002,24.1881079557866,41.0685427335119,-193.56001945613434,-0.7629690278244685,-2.1603127745028354,-1.0285446481767357,0.0,0.09927012381348067,0.49553203877757435,12.77082357611507,-4.044043051362529,-18.809858689377418
Felipe Hernandez,AA,LAA,RF,100,23,94,95,24,41,36,49,43,56,53,49,33,65,55,12,$38K  37500,Anaheim Dirty Halos,6878,0.23818075362918295,0.2928856047710457,0.33927324615317966,506.2714780103415,997.3282884508371,0.8204566666666665,59.73563780599992,68.09817202811269,-43.62982788587572,-3.111754077418421,0.034833040995563225,0.4948708229985554,0.0,0.09995451215189423,0.6321588509242253,16.875715933678052,-5.130289549644224,-3.477375223813592
Fernando Duran,LoA,LAA,RF,100,20,75,98,6,67,46,31,32,63,43,57,35,57,46,1,$27K  26250,Anaheim Dirty Halos,6878,0.22334225405717537,0.2694833046695748,0.3856889600567497,432.9808518951759,849.6633363645524,0.9199133333333335,60.44209850549718,64.38514935130252,-74.79424570005762,-3.3684296909932696,-0.7737481912245602,-2.544388106749804,0.0,0.10025810308405671,0.6551722647263245,14.43269506317253,-4.370696174714776,-7.120297087274526
Frank Martin,ML,LAA,SS,100,33,86,86,63,51,52,44,47,71,25,82,78,74,85,6,$3.8M  3820000,Anaheim Dirty Halos,6878,0.2440560193500625,0.2992824520313186,0.3545507577801584,518.5746985841542,1030.4644839186221,0.9570700000000001,67.74488263663856,63.0044320952544,-67.57756424798247,-6.051743826946322,1.589083217569952,2.1594485309635245,0.0,0.0990563329466433,0.653833209811477,17.285823286138474,5.3007432300340644,-4.926933974608435
Fred Gran,AA,LAA,SS,100,20,84,98,57,53,61,64,43,56,100,78,58,78,58,8,$38K  37500,Anaheim Dirty Halos,6878,0.2579893739748179,0.31139368667344286,0.41276750818389096,563.6194529421628,1037.8513155318797,0.9334249999999997,85.02734372292666,86.41082851941796,-31.607618354523673,5.505016045643623,1.360547473639472,0.8196388356935961,0.0,0.09968967110733974,0.7241611948573339,18.787315098072092,5.338741335040533,-0.11660434983303386
Gary Washington,AA,LAA,2B,100,23,83,64,43,47,29,40,52,60,64,69,68,55,59,2,$38K  37500,Anaheim Dirty Halos,6878,0.2366965850065966,0.2975263987803186,0.35368234648416697,494.86686159670353,954.598783813417,0.7497563333333332,64.73674285649808,73.67710244982223,-41.00622935667151,-0.9467185461499387,0.8407032382359971,0.6531777291728716,0.0,0.09876402783964768,0.6512087452644856,16.495562053223452,1.6368291903522239,-2.3350338997887645
George Patel,RL,LAA,LF,100,19,61,90,25,40,16,21,33,34,50,51,36,38,37,0,$8K  7650,Anaheim Dirty Halos,6878,0.2178358167100585,0.26994168920882566,0.31522777325771567,364.3806168837473,720.9880925761536,0.7897500000000002,44.352073117036106,54.416388380096066,-110.96296899519193,-3.58040661794891,-0.5118312371633112,1.577175994407904,0.0,0.09914036298840546,0.5851694624665413,12.146020562791575,-3.7087864844452345,-10.53544636116876
Glenallen Benjamin,AAA,LAA,SS,100,21,89,90,67,97,63,67,69,62,68,77,69,79,70,0,$55K  54500,Anaheim Dirty Halos,6878,0.26748961225705087,0.33524932529625495,0.5237544008461829,627.7437101081014,1144.758374998346,0.9745066666666662,117.5160006239826,112.38140585994596,51.66743589119166,-0.03578489255433447,1.5844437753366527,1.5613305260623829,0.0,0.09942205575469888,0.8590037261424378,20.924790336936713,5.888674768510011,8.063828266758732
Gregory Locke,LoA,LAA,C,100,20,70,64,48,34,18,9,47,29,0,11,23,63,60,61,$27K  26250,Anaheim Dirty Halos,6878,0.22296673524600685,0.2868331504353202,0.28060015257879123,329.9717694725841,699.1240829117596,0.9212899999999997,42.91432982903692,74.80800750546345,-64.2664979651217,-4.349786390748482,-2.878126562283525,-1.574268668134124,-1.4138077566102427,0.09943637366057846,0.5674333030141114,10.999058982419472,3.5963172989288053,-5.60342293147105
Harold Stroud,AA,LAA,SS,100,26,80,67,53,68,42,39,62,51,12,63,69,64,65,1,$38K  37500,Anaheim Dirty Halos,6878,0.24447873998802405,0.31052537555544485,0.3991042072537182,492.99338101036847,955.977900499478,0.916058333333333,78.89971506885972,83.48790630510635,-11.286047388481991,-5.04373650038612,0.5899728451738446,1.2979404789406948,0.0,0.09905546681664891,0.709629582809163,16.433112700345617,4.917581792692788,0.6368753034737317
Hi Duda,LoA,LAA,2B,100,19,62,53,24,28,24,18,36,39,90,66,43,51,40,4,$27K  26250,Anaheim Dirty Halos,6878,0.21819149764407542,0.27349354583154045,0.2985984389560387,360.8144134916365,677.7491252264008,0.7726299999999999,43.04951512871097,68.53218100831548,-117.15946967090527,1.9566422529775116,0.2339541689619305,1.2527528556503502,0.0,0.09881494293193573,0.5720919847875792,12.027147116387884,1.162121270964336,-10.155654590821468
Horacio Tavarez,HiA,LAA,C,100,23,61,66,38,56,24,38,44,15,19,3,17,54,56,39,$27K  26250,Anaheim Dirty Halos,6878,0.237462514932685,0.2959076274356899,0.3712765849993787,356.42790413089097,696.0221529975533,0.4844124999999999,66.93454928468468,76.04390752044385,-25.126820850694497,-4.249229574601665,-0.36660465393805525,-1.8074459206394735,-2.692991172818418,0.09913806259981829,0.6671842124350686,11.880930137696366,3.580360869328978,-1.5846368532497566
J.B. Little,RL,LAA,LF,100,20,67,75,40,14,14,13,58,45,79,65,44,43,36,2,$8K  7650,Anaheim Dirty Halos,6878,0.22182501209836994,0.29365833077732456,0.2606949428333584,392.3725956007838,741.9940345548093,0.8635199999999997,40.62720348469933,62.88458147091373,-109.33175961693162,0.8268356487134939,-0.8220218658144137,-0.3952617878383519,0.0,0.09884020411817364,0.554353273610683,13.079086520026129,-3.8168417415370848,-10.042481309172421
J.T. Martin,HiA,LAA,2B,100,23,93,85,15,49,19,13,19,26,54,51,47,59,52,4,$27K  26250,Anaheim Dirty Halos,6878,0.20766527395848172,0.24938364527206436,0.3180319962940851,454.93989484291524,951.4493815526366,0.7627799999999998,38.53711502561831,50.78940845413033,-119.70172291767301,-2.6904771281643702,-4.044342410894069,-3.5817309399974717,0.0,0.09910901856318123,0.5674156415661494,15.164663161430507,1.6314289807143976,-11.004005052758396
Javier Gamboa,ML,LAA,SS,100,31,75,78,49,70,50,79,41,73,54,77,86,85,81,5,$6.5M  6500000,Anaheim Dirty Halos,6878,0.2579029219677687,0.30465037479433027,0.4350453827917326,524.8738439306617,991.7551416680217,0.9672599999999999,88.1217560124865,82.64231312889711,-21.29097699285419,-3.456931442867243,1.7243924446043697,1.850617207896588,0.0,0.09971128908335704,0.7396957575860629,17.49579479768872,5.101621099115337,-0.03022435406946217
Jimmy Krause,HiA,LAA,2B,100,24,83,52,29,30,17,24,46,58,40,53,48,59,57,3,$27K  26250,Anaheim Dirty Halos,6878,0.22333259622000068,0.2832158969527003,0.2861112078032274,422.0851498702541,839.061316953972,0.9088100000000001,43.60401585354024,61.54930013378691,-86.72039898400516,-4.187865133840855,-0.6057894075907863,0.010359066912251733,0.0,0.09910658184497624,0.5693271047559276,14.069504995675137,1.438719679276358,-7.5985056360281344
Josmil Urena,AAA,LAA,2B,100,24,81,96,30,25,28,21,48,77,87,61,44,40,45,3,$55K  54500,Anaheim Dirty Halos,6878,0.22249982937982984,0.2838454501727985,0.2884144219980661,462.03965905867517,892.4898456335068,0.9281050000000002,44.18328717129092,71.4934274922312,-92.91881221584708,5.923465728129592,-1.0324890676679699,-0.20850934641414326,0.0,0.09923953681544408,0.5722598721708646,15.401321968622506,1.5303323827735027,-7.0827163128918365
Kenley Seneca,LoA,LAA,1B,100,23,80,91,21,25,16,12,34,44,56,44,27,38,34,7,$27K  26250,Anaheim Dirty Halos,6878,0.21355806426495275,0.2677841831210963,0.2701390339343536,405.3962339768186,822.6605378622189,0.51173,33.13578806939089,45.63807416471448,-134.88189554333255,-2.7053461112601283,-4.050899076982892,-2.6817812024358267,-0.768211302575474,0.09933340566175065,0.53792321705545,13.513207799227287,-7.052988150396253,-13.486553335376449
Kevin Osbourne,HiA,LAA,2B,100,19,56,85,75,18,52,46,44,57,74,65,52,50,43,11,$27K  26250,Anaheim Dirty Halos,6878,0.25411991061862865,0.3126022784035152,0.3139524519731257,424.123607525602,765.8182803299278,0.9013999999999998,62.09587452251484,74.81976557505722,-51.63907856448703,0.8652164081726789,0.862832135193763,-0.2572987936643422,0.043997996550841384,0.0991557206650079,0.6265547303766409,14.137453584186732,1.313131482047201,-3.5861566866636116
Kid Frank,HiA,LAA,3B,100,24,83,76,35,44,36,44,46,32,40,54,52,62,57,18,$38K  37500,Anaheim Dirty Halos,6878,0.23820082591011513,0.295032029823805,0.3415461857343539,466.99786431901157,930.0689530707896,0.9304133333333326,60.9779478312635,73.22018542524123,-51.92664268784648,-5.090873904707126,0.4372981677244966,0.629338156766563,0.0,0.09917211441614672,0.636578215558159,15.566595477300387,1.5947684380500506,-3.953660099505153
King Glass,RL,LAA,LF,100,20,71,89,21,38,24,25,34,53,83,68,51,45,41,17,$8K  7650,Anaheim Dirty Halos,6878,0.21791613343658203,0.2688126969221996,0.3153293080522451,412.4057173244655,819.2946525961161,0.8465700000000002,44.863540526530905,58.55123758206661,-96.53278348492958,1.3693325823642992,-0.2917836013351,0.6259785149299258,0.0,0.0993294253345859,0.5841420049744448,13.74685724414885,-4.214478665617881,-8.567640573329122
Kraig Christians,AAA,LAA,LF,100,29,79,92,30,52,61,64,42,44,29,63,59,68,57,12,$55K  54500,Anaheim Dirty Halos,6878,0.2509520988691538,0.30046978950774444,0.3756463121871517,488.4077323731035,958.9955098424107,0.9223849999999996,71.17091907868648,74.09697115048343,-48.53900802639789,-3.6703703068086986,0.7496764578571565,0.7986510454310515,0.0,0.0998953933810164,0.6761161016948962,16.28025774577012,-4.9331044744979975,-4.037996864366797
Luis Aramboles,ML,LAA,3B,100,31,98,98,53,75,77,75,70,49,27,69,71,77,69,24,$7.3M  7250000,Anaheim Dirty Halos,6878,0.27056504717579205,0.3362856340277877,0.4529556618524374,619.0282174684107,1197.497241480276,0.9174299999999996,101.72464353899026,86.71513006876101,-6.7594279132520185,-6.309897152207713,0.6785175330922593,0.9140028688278108,0.0,0.09975213236583404,0.7892412958802251,20.63427391561369,2.0533217446506793,1.0615450135148288
Luis Lopez,AAA,LAA,C,100,26,74,92,40,70,29,36,11,48,29,15,39,88,73,87,$360K  360000,Anaheim Dirty Halos,6878,0.22654581660614548,0.25998873125719674,0.38148297157849814,385.53579240385443,826.9137041214854,0.9776699999999997,58.203258687274264,70.89524300854384,-53.832745397702205,-4.4706636655275895,-0.9735113256454292,3.8296471436715898,4.6547081072496415,0.10071319794923074,0.6414717028356949,12.85119308012848,4.253671317497353,-3.766401144247606
Marshall Douglass,RL,LAA,C,100,21,58,90,29,21,8,8,25,7,10,14,22,61,55,60,$8K  7650,Anaheim Dirty Halos,6878,0.2084853028456667,0.2581577476069068,0.23384880469765434,261.97778449580073,599.6466922080144,0.7830199999999998,22.36776651188169,32.40235860155929,-146.17334101817508,-3.334263062653121,-3.187827060103906,-0.9562500010290577,0.10423258363442113,0.09960570541414672,0.49200655230456114,8.73259281652669,3.0846023261729143,-13.974159515090443
Matt Wise,AAA,LAA,LF,100,28,85,89,36,59,54,47,41,41,29,59,57,61,58,4,$55K  54500,Anaheim Dirty Halos,6878,0.2425296870207133,0.29348499916003534,0.3819509693013319,503.52488275431097,996.128582181409,0.8882500000000002,69.64440686377252,74.9159031852116,-44.728175778417054,-4.654846580811191,0.7889061345225384,0.6922043445655542,0.0,0.09936380289553672,0.6754359684613672,16.78416275847703,-5.124118221097783,-3.732321712604863
Matty Tavarez,AAA,LAA,LF,100,22,75,95,32,86,73,41,46,31,57,61,63,70,65,7,$55K  54500,Anaheim Dirty Halos,6878,0.2410541879019889,0.29416155780987424,0.4585148559151355,506.0399498511106,960.7795162145048,0.967295,87.35476098511622,90.15021367407896,1.6648925343763095,-2.2279512056233055,0.7120566162691951,1.267283952656285,0.0,0.09920762184600353,0.7526764137250097,16.86799832837035,-4.94228146200877,1.272968476772055
Morrie Woodard,ML,LAA,SS,100,29,83,80,28,56,56,44,65,46,88,84,84,81,82,11,$1.5M  1460000,Anaheim Dirty Halos,6878,0.2367179496233558,0.303028299790494,0.3792188378363655,522.754376988858,996.2914621252567,0.9733599999999996,74.00050211359535,77.28363083450193,-41.40435815756726,2.588317903491719,2.0065474540031545,2.1282804267071396,0.0,0.09876649639744318,0.6822471376268595,17.4251458996286,5.124956080891238,-1.4249307371216784
Omar Perez,AA,LAA,SS,100,20,84,97,20,15,42,36,38,47,30,84,66,89,70,10,$38K  37500,Anaheim Dirty Halos,6878,0.2244874319568548,0.27567289880527474,0.23974663328009854,431.1862438991666,898.3524481598288,0.7902050000000002,32.34830749214647,48.05987640060347,-112.53440873164837,-4.39364686079773,-6.171020549342903,1.7116541020596703,0.0,0.10009526533366188,0.5154195320853733,14.372874796638886,4.6211545687234,-9.698227041919147
Patrick Hammel,AAA,LAA,2B,100,27,82,95,29,24,53,38,32,62,70,76,64,54,57,20,$55K  54500,Anaheim Dirty Halos,6878,0.23017755472537682,0.2764954562480535,0.2864309953711248,466.25463177263737,942.4365098103881,0.9164399999999998,43.186884687158944,62.77728651101771,-93.03976353395498,-0.0944706749622004,1.2034468460753542,0.7587017789916175,0.0,0.09928349342197652,0.5629264516191783,15.541821059087912,1.6159748110603362,-7.5811754649755745
Patsy Hague,ML,LAA,C,100,28,82,84,56,71,77,59,72,39,36,14,21,61,61,66,$327K  327000,Anaheim Dirty Halos,6878,0.26884329450470473,0.3410004326742192,0.45069279766522985,515.1540043996647,969.0333604738116,0.9930199999999999,101.99813256831162,89.13150692379999,-2.618212789006404,-5.608771414021597,0.07823730292769122,-2.390042834147713,-1.4864756746093823,0.09957053153601482,0.791693230339449,17.17180014665549,4.984739508610142,1.1630643773561902
Raul Martin,---,LAA,SS,100,23,97,75,48,62,29,17,40,81,49,92,82,94,96,21,$327K  327000,Anaheim Dirty Halos,6878,0.21702775009751085,0.27012439817269096,0.34799259467337884,506.87120788544416,1041.487795514986,0.9638149999999993,55.73775315615834,56.77805452146216,-90.6258741980632,-5.476354753378257,5.735450152179145,6.741373530580637,0.0,0.09931654581276707,0.6181169928460698,16.895706929514805,5.357447507793138,-6.763767157538815
Red Garland,ML,LAA,1B,100,25,28,78,89,71,81,80,81,65,46,42,61,76,82,76,$343K  343000,Anaheim Dirty Halos,6878,0.2846293752832688,0.3602548184324377,0.4737325833852346,388.20303810574114,647.4680512975901,0.9908500000000001,116.44743171816712,99.5843893111581,55.00052698021275,-5.770733703685653,0.045272445997235906,3.1656448995360114,2.567186764902847,0.09963920630224056,0.8339874018176723,12.94010127019137,-5.550994952825704,6.025668181840657
Rick George,HiA,LAA,2B,100,21,82,93,45,37,40,33,40,50,68,64,47,48,45,3,$27K  26250,Anaheim Dirty Halos,6878,0.23518284883916668,0.29017100157928266,0.3317865470591209,485.84426736366004,942.3147327508777,0.8758133333333333,56.94975421961184,62.009603515430136,-85.53727220027488,-0.7602742933020081,0.6169617368607265,0.49738131634236105,0.0,0.09911198339949369,0.6219575486384036,16.194808912122,1.6157660026592555,-6.852652541090756
Robin Blankenship,AA,LAA,2B,100,22,88,66,26,20,25,20,45,47,88,61,40,41,41,3,$38K  37500,Anaheim Dirty Halos,6878,0.22193814909497575,0.2827487733779598,0.2782428339089075,460.2949389098212,898.5894279871136,0.8444599999999999,41.63942864297909,66.6981060180493,-92.95149108522865,2.2985536281836847,-1.8989790573497636,-1.310196565571513,0.0,0.09858566425799399,0.5609916072868673,15.343164630327372,1.5407912002522521,-7.567210204306688
Rodney Robinson,AA,LAA,LF,100,23,85,79,30,36,13,16,55,66,84,52,29,53,43,8,$38K  37500,Anaheim Dirty Halos,6878,0.2210701363088333,0.28962386174024923,0.3155733666434022,455.7874369043857,867.7014925088733,0.7029300000000002,51.53133418759584,68.09120694962198,-80.68692027313595,3.8751238558429053,-2.4059066305949934,-1.304987441534683,0.2896893377992733,0.0994942360481993,0.6051972283836514,15.192914563479523,-4.463485043769924,-6.791953344133574
Scott Sullivan,ML,LAA,CF,100,31,80,96,61,31,45,50,80,72,91,82,82,57,56,2,$5.4M  5400000,Anaheim Dirty Halos,6878,0.2531442185883004,0.3319869787040509,0.34035252786135684,552.5378289557993,1018.051188884303,0.9793200000000002,74.1201933345806,80.17204008446062,-45.686134912995975,6.764099234052479,2.025548913616709,2.365215324629013,0.0,0.09903924271173782,0.6723395065654078,18.41792763185998,1.7456296105697924,-1.6522725859470804
Scott Walters,ML,LAA,LF,100,34,75,77,85,62,64,77,68,63,68,57,60,44,59,18,$4.3M  4275000,Anaheim Dirty Halos,6878,0.2798878890022907,0.34827371654590966,0.45515933739618386,570.863983374089,1030.9975785072893,0.9737499999999999,107.17554288467413,95.9953291938744,17.38609751090359,-0.05507486566470095,1.2010372326196253,1.2466055265385547,0.0,0.0985328349558451,0.8034330539420935,19.028799445802967,-5.303485486148608,3.2558048611142847
Shelley Winn,RL,LAA,LF,100,19,61,43,21,18,23,19,44,42,74,64,44,41,40,7,$8K  7650,Anaheim Dirty Halos,6878,0.21926378445149214,0.279424164438937,0.26845382460501727,342.0300969425589,653.788772944361,0.7716299999999999,38.078751629153466,61.384472835906124,-95.72928382875281,0.186981423967697,-0.4520841201169752,0.8574780649312798,0.0,0.09853652997088393,0.5478779890439542,11.40100323141863,-3.3631109719360133,-8.733121011705435
Takashi Kang,AA,LAA,C,100,24,78,88,48,51,36,27,52,18,43,11,16,51,46,54,$38K  37500,Anaheim Dirty Halos,6878,0.238278033290026,0.3034596130104862,0.3633929171708863,434.08897192496806,855.8135818243027,0.7584199999999996,67.41134445711991,74.80598648783848,-32.079023681852,-5.453715826675278,-0.8769820369767916,-5.59238593995651,-5.712798351576236,0.09928809774981819,0.6668525301813725,14.469632397498934,4.402333239836948,-2.444469463160226
Teoscar Feliz,AA,LAA,3B,100,20,70,95,51,47,44,39,38,40,21,60,57,64,58,4,$38K  37500,Anaheim Dirty Halos,6878,0.23937031510476175,0.2910965314133572,0.3453786095057775,439.25433826074004,866.8804122209549,0.92085,60.633940617779935,65.52714259697296,-66.27725136840876,-5.025845796294965,0.48434539909446606,0.6053661827874931,0.0,0.0994744622363989,0.6364751409191347,14.641811275358002,1.4864204599124742,-5.500045172136972
